 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17
44	884.050	884.050	857.259	862.420	866.300	866.561	837.611	807.763	830.141	778.401	795.351	778.369	793.779	790.968	810.913	753.878	706.789
45	908.061	908.061	849.025	838.279	844.651	831.322	795.635	775.754	819.234	775.541	800.541	774.004	789.494	792.711	806.493	778.309	707.554
46	913.416	913.416	813.361	809.504	815.627	796.484	776.216	768.907	786.924	749.054	806.280	778.200	799.607	796.101	787.629	772.145	729.620
47	907.965	907.965	769.129	781.395	798.861	794.272	765.048	741.978	783.832	767.703	798.483	787.288	812.630	792.717	818.273	783.434	722.722
48	904.700	904.700	747.416	754.154	755.908	774.374	710.785	709.418	796.096	772.425	798.958	773.412	809.038	782.351	824.068	786.861	746.327
49	869.406	869.406	729.318	727.715	737.998	764.664	702.131	678.576	778.809	737.941	810.507	767.454	810.086	783.965	847.034	794.647	757.167
50	839.214	839.214	693.651	693.775	728.685	724.377	674.203	665.672	741.458	769.906	801.320	780.582	808.768	768.990	829.497	813.468	764.448
51	798.064	798.064	661.560	655.095	683.211	687.962	662.665	627.464	714.131	740.590	785.147	785.090	802.641	751.782	825.688	804.033	768.115
52	765.619	765.619	652.746	653.383	671.898	651.871	646.739	609.758	687.898	726.422	780.435	759.958	793.797	745.877	794.119	811.219	775.068
53	751.682	751.682	631.391	647.827	659.856	660.067	628.621	601.841	654.306	702.627	765.288	756.181	763.792	754.480	778.354	800.760	763.140
54	699.790	699.790	610.819	610.023	623.364	634.053	609.838	587.338	639.028	670.056	754.120	726.630	755.443	733.888	741.251	795.790	750.684
55	661.622	661.622	605.325	587.920	596.124	619.286	595.825	560.248	633.990	643.707	732.495	708.982	745.429	700.353	721.488	810.083	741.632
56	654.411	654.411	595.875	581.726	604.100	603.079	576.158	569.027	604.432	643.602	702.218	689.780	714.691	701.539	696.143	787.025	729.411
57	629.044	629.044	571.720	570.992	592.284	598.831	568.528	556.090	599.180	637.630	680.301	683.066	686.026	668.706	678.174	771.020	700.354
