 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17	Profile_Slice_18	Profile_Slice_19
1	209.280	199.984	197.387	197.344	200.558	200.380	192.774	198.132	192.008	205.241	207.026	208.271	204.785	204.031	197.798	209.282	201.037	201.525	202.952
2	199.479	199.999	196.028	198.037	202.523	192.147	196.088	199.910	193.296	202.089	205.491	201.667	204.265	203.272	199.608	202.017	204.529	201.189	204.810
3	202.325	207.282	194.034	209.088	195.764	201.623	195.814	194.016	201.679	202.354	201.954	206.302	201.962	200.098	204.536	207.725	202.687	202.992	202.990
4	200.793	205.909	198.052	203.460	196.854	206.888	196.652	196.687	202.504	204.643	199.064	210.861	202.063	203.126	203.843	206.441	206.174	201.680	198.693
5	208.110	206.501	197.547	199.186	200.587	199.698	198.381	202.370	202.843	206.141	199.631	203.334	203.972	198.807	197.041	203.110	205.349	198.560	202.790
6	204.581	206.350	201.444	205.687	201.629	195.811	198.010	199.839	204.821	206.757	204.857	201.902	203.590	200.492	201.101	203.005	204.805	206.060	211.535
7	196.074	203.075	197.133	203.017	194.963	198.441	202.753	202.383	196.831	205.146	205.303	204.265	204.459	204.583	197.919	199.392	205.861	202.470	205.162
8	201.979	207.772	196.734	202.444	196.131	200.032	198.491	200.917	208.680	197.486	202.197	205.509	202.709	207.216	201.061	200.188	205.549	197.524	203.724
9	200.178	208.230	204.050	201.794	197.287	197.315	201.172	202.413	200.023	206.001	207.730	204.160	206.120	201.595	200.463	202.810	202.994	202.073	211.503
10	202.429	205.836	201.625	203.111	207.479	203.744	197.444	208.308	202.188	202.737	203.308	200.107	202.960	199.656	204.588	205.051	197.995	203.810	204.378
11	202.045	204.077	203.927	205.334	205.292	201.598	198.832	204.842	203.783	202.117	198.790	206.437	207.212	198.467	202.330	190.648	199.217	198.862	206.854
12	205.369	208.242	204.368	205.708	201.509	194.556	191.087	199.532	202.896	195.664	197.582	201.883	196.938	205.015	198.422	189.261	198.904	194.845	209.773
13	201.213	201.941	203.401	209.305	202.974	195.077	195.693	197.221	206.528	198.790	201.136	200.292	203.830	207.224	195.712	206.314	198.559	202.715	199.857
14	197.419	201.736	206.625	206.595	200.913	198.491	201.180	198.392	201.285	200.453	200.130	202.253	200.389	202.804	195.772	202.487	206.042	200.711	199.791
15	200.925	213.803	202.485	202.131	203.305	203.565	199.672	203.706	206.220	199.665	201.029	200.780	204.626	199.612	200.283	199.625	205.155	198.402	201.978
16	201.326	220.126	199.130	202.982	199.744	202.504	195.428	197.581	197.729	193.340	202.657	200.200	192.441	197.883	193.717	195.663	197.485	199.265	200.369
17	196.531	203.710	205.685	202.171	203.001	200.059	197.368	191.605	200.976	205.546	202.865	199.363	200.238	205.527	198.870	205.490	196.607	195.953	203.810
18	195.018	206.934	204.102	195.807	202.231	202.035	200.861	202.510	204.827	201.150	196.978	199.007	197.469	199.568	199.066	195.787	196.539	196.875	199.659
19	201.149	205.949	212.792	200.897	199.034	202.745	199.923	197.042	202.880	200.920	194.294	198.942	205.007	198.764	193.147	191.232	195.114	198.333	201.932
20	204.871	210.011	209.188	201.335	204.323	206.780	202.543	201.022	199.903	202.852	201.765	195.550	204.169	196.183	196.977	198.491	193.602	195.898	203.568
21	197.478	206.255	205.344	202.779	200.128	206.530	202.023	199.903	203.634	197.799	203.928	191.899	203.678	196.559	202.339	199.949	195.893	197.616	201.247
22	193.160	200.278	203.131	195.733	204.195	199.526	201.070	204.537	206.339	202.495	203.194	198.235	202.198	196.027	206.176	202.609	201.995	202.450	201.307
23	195.798	205.837	197.425	203.637	203.559	204.060	197.109	201.874	198.827	197.593	200.309	196.004	196.243	196.176	203.066	198.894	194.135	199.231	199.119
24	198.168	209.780	197.750	201.751	199.946	201.077	200.291	195.307	197.298	202.091	196.189	195.874	199.985	198.465	195.787	193.920	197.975	194.330	202.619
25	195.558	205.617	202.111	196.668	204.071	197.535	197.575	199.500	197.008	203.359	200.233	192.672	199.156	195.801	199.884	201.594	196.791	195.550	198.030
26	194.065	200.152	203.887	202.463	199.844	194.919	198.969	201.259	200.934	197.505	198.334	199.764	193.888	202.678	201.584	205.218	196.447	199.805	201.196
27	201.891	200.196	195.228	202.283	195.527	198.148	195.530	201.641	203.157	203.638	204.826	196.522	199.562	198.288	203.152	200.599	193.153	201.559	198.644
28	195.115	203.800	187.548	200.891	199.904	194.827	195.326	195.517	195.227	202.335	198.433	195.993	196.556	192.536	201.309	199.721	193.312	199.056	195.681
29	200.598	200.351	193.994	197.609	203.297	198.268	191.189	197.660	201.521	200.192	198.448	195.567	195.271	195.349	207.614	202.647	198.222	192.875	200.208
30	202.991	202.410	199.575	195.940	202.144	200.806	193.821	203.081	205.492	192.883	201.983	202.261	197.907	194.537	205.275	196.216	202.658	198.767	205.414
31	194.819	201.268	196.281	197.799	195.159	202.498	201.611	201.864	201.772	198.800	200.869	195.604	202.397	198.550	201.189	197.887	197.865	200.736	202.093
32	201.182	197.362	197.899	201.578	198.734	196.844	194.378	204.326	201.335	202.189	195.167	199.617	203.798	197.317	201.404	197.744	191.686	195.833	199.314
33	199.474	200.487	196.864	200.818	201.208	200.743	200.544	196.268	198.619	199.980	200.893	194.062	198.552	192.621	196.199	197.435	194.579	198.790	198.098
34	200.857	200.480	194.223	196.777	196.709	204.885	198.801	197.186	199.524	193.433	199.999	198.675	201.685	200.179	196.910	197.019	188.981	200.430	194.484
35	200.694	202.477	191.003	201.669	196.152	201.545	195.882	193.992	196.988	195.273	201.132	195.473	198.285	197.164	195.524	198.703	188.159	195.295	198.947
36	207.749	201.196	192.362	196.800	195.064	201.168	198.445	202.050	194.993	191.189	195.899	194.636	196.343	195.383	196.275	193.104	193.867	194.223	198.264
37	196.717	202.095	196.332	201.640	199.289	195.320	196.641	198.733	201.058	193.257	196.144	196.460	195.575	197.157	201.543	191.099	196.662	194.199	199.498
38	192.377	203.706	202.744	198.423	196.017	199.400	198.695	198.767	199.740	195.162	195.118	196.861	200.704	200.132	197.748	191.466	195.151	193.471	197.688
39	201.147	198.412	200.280	199.470	195.101	197.542	199.077	205.115	196.610	194.918	197.048	194.473	195.710	199.350	192.030	196.012	193.082	194.530	199.296
40	201.847	204.914	199.800	191.629	196.967	194.916	198.558	197.533	194.866	189.144	190.812	192.741	195.842	198.790	194.042	194.892	196.002	194.080	196.977
41	196.139	206.483	193.242	194.679	201.318	200.066	201.241	192.265	195.494	190.799	192.497	194.469	195.987	195.308	194.996	195.159	199.086	191.308	191.106
42	196.581	200.322	198.891	196.559	199.815	197.488	198.503	196.889	197.900	198.404	192.875	189.267	191.907	193.246	194.500	190.158	192.383	192.561	191.774
43	189.824	197.619	198.887	198.151	204.762	197.805	194.570	195.622	200.376	193.400	188.682	192.918	193.783	193.972	196.956	193.594	192.146	193.858	198.883
44	193.532	199.829	196.213	201.295	199.346	199.523	196.156	202.805	202.527	194.888	197.292	187.171	197.308	186.898	191.626	194.040	192.534	189.544	191.923
45	196.326	200.741	196.494	195.198	196.081	201.036	199.361	199.888	201.576	190.306	195.790	191.221	190.650	193.993	195.897	192.025	191.826	183.323	195.432
46	190.588	198.629	196.574	194.637	194.309	196.474	200.149	197.693	197.678	195.718	193.300	189.776	194.446	193.846	196.860	192.283	190.418	186.912	191.088
47	192.246	203.899	193.811	201.074	191.304	196.926	199.511	195.425	194.447	192.305	198.497	194.659	191.557	195.668	190.657	193.678	196.559	188.090	195.776
48	193.753	198.949	195.959	197.978	189.737	192.514	199.422	197.817	196.410	190.984	190.842	193.749	195.497	193.009	192.542	185.501	192.146	186.594	192.408
49	189.709	202.126	195.447	195.285	191.305	192.475	198.221	194.138	197.617	193.629	190.714	188.122	187.855	188.675	195.327	184.172	188.060	188.308	195.187
50	192.321	197.751	199.147	194.415	194.643	193.482	197.759	196.189	195.480	193.805	190.262	191.485	192.885	187.222	194.732	186.669	192.461	188.650	198.208
51	194.147	193.100	198.491	193.890	190.922	196.992	190.475	190.042	194.000	194.972	190.805	187.251	193.173	194.630	197.903	187.915	195.381	187.487	192.071
52	189.220	202.208	194.549	195.052	191.686	199.886	196.175	196.841	195.518	195.037	195.113	190.555	189.197	200.660	192.381	189.193	189.292	189.554	190.616
53	184.735	202.541	199.760	197.440	190.201	190.338	196.796	195.663	190.799	193.715	193.393	196.796	190.855	196.423	187.923	191.390	191.256	195.919	194.493
54	188.866	195.148	197.619	201.165	193.568	188.385	191.885	199.644	187.880	197.392	188.173	187.907	192.363	190.099	196.054	193.652	190.848	193.419	195.551
55	188.451	193.140	200.807	196.541	193.627	189.347	194.070	196.433	197.032	203.355	192.741	187.785	186.344	191.159	192.874	192.238	188.769	192.520	190.853
