 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10
74	435.119	435.119	365.761	421.711	416.346	368.165	382.481	334.408	346.519	352.171
75	408.464	408.464	343.786	428.904	393.327	366.406	405.032	332.677	368.479	382.683
76	402.676	402.676	321.581	409.760	431.975	344.620	371.303	356.979	365.866	356.268
77	394.893	394.893	334.972	396.886	420.921	376.013	410.895	376.523	352.557	366.935
78	367.661	367.661	335.877	374.730	390.222	373.142	422.065	386.810	354.599	396.003
79	362.911	362.911	350.001	335.165	376.491	391.082	411.080	350.152	392.702	347.872
80	374.093	374.093	327.892	355.462	366.381	368.615	384.105	369.075	347.488	363.205
81	351.046	351.046	330.818	347.174	371.137	356.319	371.740	357.442	353.907	349.204
82	349.030	349.030	309.904	338.272	346.400	371.413	383.968	371.420	352.578	350.480
83	328.638	328.638	304.642	342.170	347.855	370.606	381.762	374.401	345.764	353.752
84	327.224	327.224	338.443	345.785	339.146	347.203	399.072	397.017	333.728	337.543
85	336.394	336.394	336.185	334.529	335.204	355.095	379.041	347.582	329.545	315.596
86	316.711	316.711	309.897	328.289	336.208	345.686	383.884	337.448	319.780	316.257
87	322.400	322.400	288.600	314.200	317.800	312.800	405.800	311.200	310.000	305.600
88	335.340	335.340	304.760	307.011	351.151	362.799	352.268	387.419	331.698	323.035
89	312.386	312.386	303.898	307.151	330.065	352.052	343.116	335.161	326.506	295.229
90	311.209	311.209	284.682	301.706	316.911	329.578	327.018	325.564	355.055	307.670
91	307.632	307.632	285.113	303.033	320.752	350.935	314.638	325.764	338.018	310.416
92	312.043	312.043	307.262	280.676	311.882	377.241	326.585	276.707	329.968	312.610
93	290.516	290.516	307.739	289.538	284.960	361.438	293.298	310.224	295.717	274.956
94	285.655	285.655	322.212	308.006	291.033	337.856	275.429	304.641	295.003	282.438
95	287.676	287.676	297.653	310.920	299.100	305.955	268.214	294.642	305.192	300.053
96	269.345	269.345	297.268	273.844	276.219	271.542	291.264	316.139	294.569	269.812
97	304.300	304.300	276.318	276.217	291.393	304.426	289.341	313.972	299.153	279.549
98	287.893	287.893	262.160	283.520	295.312	295.049	284.609	306.394	293.506	297.599
99	274.787	274.787	272.057	294.737	286.950	277.783	260.186	334.000	318.792	254.503
100	270.874	270.874	263.603	291.880	280.867	288.514	263.196	327.262	307.660	253.964
101	255.272	255.272	270.805	288.724	271.716	309.508	262.163	307.333	292.513	281.623
102	268.261	268.261	259.276	257.793	259.698	300.221	274.598	287.737	309.534	261.694
103	258.059	258.059	251.047	257.483	262.211	298.653	271.170	299.476	291.721	263.810
104	275.048	275.048	248.453	254.500	291.206	276.459	251.523	281.084	281.690	255.991
105	268.229	268.229	267.214	263.796	258.210	269.830	278.229	282.652	277.770	259.203
106	272.734	272.734	261.744	269.451	259.625	274.990	280.447	289.761	274.641	256.035
107	323.277	323.277	259.948	269.516	241.714	286.935	264.140	283.532	259.531	255.316
108	273.553	273.553	252.010	261.577	278.505	279.114	268.579	289.955	265.579	257.581
109	261.494	261.494	274.060	253.435	251.689	276.681	297.983	268.754	271.643	250.058
110	266.965	266.965	276.093	242.871	268.325	270.588	272.491	294.655	274.845	249.828
111	256.312	256.312	263.310	247.798	250.076	282.082	249.725	264.076	256.913	256.235
112	258.172	258.172	270.760	278.202	257.474	285.476	258.376	251.713	269.302	237.920
113	259.113	259.113	255.965	252.745	256.541	276.396	244.628	260.410	262.560	260.174
114	261.868	261.868	253.228	263.788	273.044	275.666	261.660	259.149	275.198	253.188
115	262.482	262.482	236.708	251.392	258.419	265.838	275.268	251.153	270.644	243.518
116	243.963	243.963	258.974	243.608	271.128	260.860	267.094	247.925	263.306	257.942
117	285.828	285.828	246.681	248.273	269.387	248.020	296.383	260.338	256.431	239.209
118	256.003	256.003	252.760	242.146	253.004	264.769	259.808	238.461	252.461	250.451
119	249.962	249.962	252.751	243.488	261.224	276.258	250.271	248.887	245.757	248.707
120	255.832	255.832	244.464	235.427	256.888	279.716	262.091	268.938	236.240	250.297
121	240.239	240.239	228.895	248.875	255.476	288.036	270.313	276.959	224.350	244.655
122	224.296	224.296	235.891	272.449	243.822	245.518	269.015	266.080	240.909	231.446
123	238.563	238.563	256.948	263.685	253.118	254.474	252.605	242.886	240.444	236.578
124	261.111	261.111	255.347	240.517	249.858	260.972	245.796	251.430	261.748	226.975
125	249.563	249.563	251.986	224.793	243.160	231.239	245.279	262.137	272.028	226.527
126	239.779	239.779	245.509	238.586	254.218	221.456	239.719	225.835	249.917	229.047
127	227.408	227.408	251.923	250.487	245.593	247.104	249.207	253.446	239.585	220.272
128	258.496	258.496	230.826	245.406	247.614	252.845	254.925	262.291	257.753	218.956
129	271.326	271.326	244.809	261.951	264.599	274.203	250.331	243.253	257.364	218.308
130	232.400	232.400	220.800	222.200	247.000	246.000	255.400	232.000	252.400	228.400
131	226.509	226.509	256.414	227.063	231.750	241.193	243.260	249.931	227.696	230.659
132	226.367	226.367	256.075	251.214	229.392	250.409	249.621	242.814	220.800	231.293
133	246.621	246.621	247.108	253.984	214.532	240.338	260.936	254.810	238.545	240.428
134	224.390	224.390	238.402	227.570	229.481	247.833	235.721	232.737	236.337	207.612
135	234.999	234.999	232.229	227.192	253.299	246.868	226.542	248.848	231.628	220.354
136	242.296	242.296	243.464	225.233	241.590	223.056	244.559	227.494	247.111	234.733
137	239.775	239.775	232.146	213.290	228.270	252.382	244.524	221.448	242.384	222.949
138	236.700	236.700	238.434	227.812	228.520	237.607	231.275	251.397	230.241	231.675
139	223.285	223.285	255.295	231.392	235.838	232.739	246.886	245.979	233.339	225.505
140	224.527	224.527	240.981	237.451	248.505	225.766	248.535	246.174	243.410	233.044
141	233.891	233.891	238.375	226.746	240.922	237.875	235.738	219.376	250.493	243.920
142	241.552	241.552	240.709	244.478	237.281	232.928	238.694	235.560	230.727	243.259
143	255.528	255.528	230.610	237.066	243.811	224.418	239.893	238.290	237.032	234.491
144	257.288	257.288	238.536	239.952	245.601	221.095	258.442	242.334	232.946	234.624
145	251.951	251.951	246.296	247.848	251.529	247.256	245.424	251.486	225.202	232.209
146	236.462	236.462	226.726	228.589	240.766	233.031	212.892	219.097	226.002	217.346
147	209.006	209.006	229.772	258.610	228.220	230.415	221.560	227.240	239.394	226.398
148	225.665	225.665	233.396	251.417	234.149	224.843	224.387	229.613	235.154	226.754
149	223.909	223.909	233.416	245.294	217.050	215.031	227.146	227.028	230.516	238.810
150	251.337	251.337	229.886	224.285	245.111	226.919	231.716	227.224	232.966	237.996
151	239.313	239.313	232.245	233.805	236.302	232.236	244.360	235.418	225.933	218.946
152	258.339	258.339	224.810	240.505	228.571	227.980	241.880	225.532	238.345	220.461
153	269.398	269.398	224.558	227.456	233.247	257.466	244.706	220.930	236.388	230.613
154	235.533	235.533	229.319	227.950	238.003	245.993	249.632	225.277	240.864	221.773
155	233.946	233.946	236.071	219.759	256.187	221.224	255.871	230.316	244.776	228.146
156	230.614	230.614	214.157	232.327	207.735	246.337	250.652	216.652	244.050	226.028
157	220.472	220.472	234.169	233.201	204.855	241.470	251.198	222.842	234.772	216.986
158	240.009	240.009	253.744	222.155	225.525	242.560	222.870	235.452	235.626	216.619
159	218.923	218.923	235.238	215.821	253.585	240.507	230.319	252.927	224.727	223.812
160	213.207	213.207	227.898	216.073	237.450	211.691	248.039	249.422	234.531	229.246
161	232.973	232.973	221.109	225.605	221.251	217.367	231.480	247.827	229.590	226.186
162	222.934	222.934	215.774	216.336	227.458	211.228	253.327	246.915	217.280	222.659
163	213.410	213.410	225.073	254.768	236.448	217.711	230.283	217.752	212.201	214.744
164	201.756	201.756	244.416	237.120	225.800	222.252	216.948	213.108	221.285	218.972
165	223.967	223.967	213.214	230.248	239.093	215.613	227.300	223.758	235.151	231.115
166	223.511	223.511	219.912	226.194	226.753	224.847	238.897	210.328	257.134	214.792
167	215.678	215.678	200.328	219.292	237.909	233.269	221.327	222.598	225.153	241.359
168	222.877	222.877	219.468	217.501	224.786	232.714	214.553	230.241	238.151	213.293
169	215.920	215.920	218.728	222.392	232.716	237.895	209.177	234.941	221.602	203.739
170	218.432	218.432	210.304	236.097	230.954	239.292	216.073	223.285	193.928	206.833
171	207.019	207.019	216.159	215.897	222.028	236.553	242.100	246.782	198.254	223.840
172	219.820	219.820	236.631	219.085	231.071	244.810	236.930	236.274	230.310	229.756
173	231.600	231.600	247.000	222.400	228.200	239.800	205.600	224.000	226.200	224.600
174	228.447	228.447	220.191	225.125	238.137	230.924	208.314	247.384	198.997	221.654
175	223.221	223.221	229.628	229.133	239.088	221.527	222.353	215.102	207.677	229.428
176	201.586	201.586	228.317	240.427	218.249	207.299	248.956	212.605	245.277	221.535
177	213.409	213.409	220.124	216.652	216.588	225.523	227.846	215.450	225.294	206.632
178	227.790	227.790	196.968	217.636	216.896	240.485	218.508	228.315	221.313	200.412
179	233.621	233.621	207.385	215.644	211.761	223.420	249.332	211.063	228.458	240.488
180	219.970	219.970	230.155	213.190	224.419	212.742	245.174	226.847	229.427	219.753
181	225.568	225.568	239.953	212.896	232.240	222.143	236.339	238.881	218.245	224.669
182	222.697	222.697	225.088	203.313	227.414	214.722	229.206	236.635	228.439	201.934
183	210.228	210.228	216.634	220.789	233.524	209.357	231.395	233.809	207.741	228.041
184	206.470	206.470	208.092	219.400	233.655	219.371	243.402	205.153	217.954	234.077
185	209.470	209.470	199.257	217.145	237.164	216.747	229.439	226.093	230.824	247.453
186	217.904	217.904	211.161	218.564	218.869	205.100	228.129	222.096	234.451	220.692
187	238.252	238.252	243.669	185.681	219.917	201.244	237.073	231.478	225.545	223.563
