idxAnalysis;T;Tabs;B;F;dx;dy;dz;D2;D3
0;0.0;3282.913;5.005;31.625453051890148;6.63772151898734;-0.13816455696202484;0.1295;6.6391593148852905;6.640422174713602
0;0.7880000000000109;3283.701;5.004;31.796697126359543;6.62620253164557;-0.15196202531645636;0.14;6.627944813252781;6.6294232364154
0;1.387000000000171;3284.3;5.007;31.785880981329843;6.629367088607596;-0.12284810126582293;0.14175000000000001;6.630505233502058;6.632020258865181
0;1.987999999999829;3284.901;5.002;32.08275534357222;6.609240506329116;-0.13689873417721588;0.13475;6.6106581619322045;6.612031374428049
0;2.588000000000193;3285.501;5.005;32.40328568538713;6.592088607594938;-0.13734177215189974;0.14;6.5935191645100115;6.595005304983522
0;3.186999999999898;3286.1;5.005;32.24120312463397;6.601708860759491;-0.12259493670885971;0.14525000000000002;6.602847067798634;6.604444485589763
-1;3.788000000000011;3286.701;5.005;31.324911707186526;6.656772151898732;-0.14955696202531643;0.07;6.6584519797911526;6.658819923018246
-1;3.811999999999898;3286.725;5.004;31.861802826849136;6.6254430379746845;-0.1327215189873405;0.043750000000000004;6.626772249824912;6.626916667165019
-1;3.826999999999771;3286.74;4.93;31.334068828614495;6.617658227848099;-0.12107594936708929;0.10325;6.618765731321875;6.619571010920632
-1;3.8420000000000982;3286.755;4.921;31.294964618152004;6.614556962025316;-0.12272151898734132;0.126;6.6156953054913386;6.616895070582586
-1;3.8580000000001746;3286.771;4.908;31.10346271837771;6.619303797468353;-0.11981012658227852;0.126;6.620387996908536;6.621586911731252
-1;3.8719999999998436;3286.785;4.901;31.043824292131887;6.619050632911393;-0.12132911392405073;0.1295;6.620162538407219;6.621429021361651
-1;3.887000000000171;3286.8;4.886;30.998450310981873;6.61398734177215;-0.12063291139240544;0.12775;6.6150873657445555;6.616320799276078
-1;3.9020000000000437;3286.815;4.87;30.829946212610967;6.615949367088606;-0.11696202531645652;0.12424999999999999;6.616983160266184;6.618149605875214
-1;3.91800000000012;3286.831;4.857;30.739962392224346;6.614367088607595;-0.11829113924050631;0.12775;6.615424761606629;6.616658132243053
-1;3.9329999999999927;3286.846;4.835;30.481831290913796;6.6184177215189886;-0.11778481012658344;0.12775;6.6194657184710275;6.6206983363171865
-1;3.9479999999998654;3286.861;4.816;30.358741395759083;6.615886075949367;-0.1175316455696202;0.126;6.6169299722492925;6.61812951351445
-1;3.961999999999989;3286.875;4.791;30.15316226837931;6.614936708860757;-0.12373417721519066;0.126;6.616093848249487;6.617293541081936
-1;3.9780000000000655;3286.891;4.767;29.992825463648067;6.612025316455694;-0.11664556962025428;0.1295;6.6130541336331925;6.614321977675645
-1;3.992000000000189;3286.905;4.739;29.74076777360238;6.612658227848098;-0.1146202531645574;0.12775;6.61365153608524;6.614885237346349
-1;4.007999999999811;3286.921;4.71;29.51477853702411;6.610949367088609;-0.11632911392405024;0.12775;6.611972776483252;6.613206790918883
-1;4.0219999999999345;3286.935;4.675;29.192085762209864;6.612025316455694;-0.1174683544303794;0.1295;6.613068697642842;6.614336538893648
-1;4.036999999999807;3286.95;4.629;28.721721679392047;6.616708860759496;-0.12094936708860768;0.12424999999999999;6.617814208441663;6.618980507597251
-1;4.052000000000135;3286.965;4.592;28.46483157160086;6.612531645569621;-0.12126582278480992;0.126;6.613643486266503;6.6148436235058
-1;4.068000000000211;3286.981;4.543;28.122705498796357;6.607215189873414;-0.12088607594936687;0.12424999999999999;6.608320967435859;6.60948894175279
