idxAnalysis;T;Tabs;B;F;dx;dy;dz;D2;D3
0;0.6559999999990396;27638.103;1.1044;7.675653613382016;4.9463408845304855;-0.14435606213339994;0.09625;4.948446909753856;4.9493828788195895
0;1.3119999999980791;27638.759;1.1044;7.579594651201374;4.963786245742236;-0.10276092468019474;0.09625;4.964849816566552;4.96578269395278
0;1.3669999999983702;27638.814;1.1044;7.613449230110459;4.95894289657273;-0.10716423019574979;0.0665;4.960100686851285;4.9605464491024165
0;2.4569999999985157;27639.904;1.1011;7.611740411649855;4.953144769562203;-0.09910194284583583;0.059500000000000004;4.954136080419797;4.9544933699942755
0;2.565999999998894;27640.013;1.1033;7.513608011796056;4.973898993766617;-0.09189219775404886;0.05775;4.974747770108614;4.975082957971718
0;3.6569999999992433;27641.104;1.1033;7.512921615470311;4.974519576692549;-0.09008228389429043;0.028;4.9753351481853985;4.975413936223701
1;3.7659999999996217;27641.213;1.1044;7.529407530358619;4.974034831687495;-0.08808174826256011;0.028;4.974814659986585;4.974893456267927
1;3.786000000000058;27641.233;1.1011;7.451529843690004;4.981132688636577;-0.06124791356670498;0.028;4.9815092259997;4.981587916389725
1;3.80199999999968;27641.249;1.1033;7.491620146977177;4.978390827351706;-0.0787391570945641;0.028;4.9790134650068545;4.979092194840296
1;3.815999999998894;27641.263;1.1044;7.521417478230618;4.975671811419173;-0.07722467146423927;0.028;4.976271056206054;4.976349829426596
1;3.830999999998312;27641.278;1.1132000000000002;7.615792967524061;4.976631498919921;-0.06628375078330093;-0.08575;4.977072895956;4.977811534616376
1;3.8470000000015716;27641.294;1.1264;7.733257447328085;4.981679153571585;-0.06672517253331958;-0.1295;4.982125995775228;4.983808753130412
1;3.861000000000786;27641.308;1.1429;7.990127614789529;4.972825209974436;-0.05864782404210543;-0.13125;4.973171034282068;4.974902682336828
1;3.8770000000004075;27641.324;1.1660000000000001;8.23960898287611;4.978124380903677;-0.06320551516377239;-0.1295;4.978525613963911;4.98020958784816
1;3.8909999999996217;27641.338;1.1913;8.581285466404896;4.973835342749477;-0.07774557088676959;-0.1295;4.9744429226373;4.97612827814721
