;idxAnalysis;T;B;F;dx;dy;dz;D2;D3
0;0;0.697;6.0012;125.299206117758;-4586.58227848101;879.936708860757;349.8786774303;4670.22757570515;180.315139705756
1;0;1.296;6.0036;125.756879229172;-4591.51898734177;859.87341772152;336.346185833452;4671.34123198296;180.43438753537
2;0;1.897;6.0048;126.029626751384;-4600.3164556962;830.189873417723;325.282485442256;4674.62583727025;182.929514387737
3;0;2.007;6.0012;124.449418669599;-4622.08860759494;797.341772151899;337.805783431514;4690.35787526679;199.506751233539
4;0;2.607;6.0012;125.260725356982;-4628.22784810127;743.481012658225;354.583932741452;4687.56408277512;197.955944856511
5;0;3.206;6.0048;125.490018116549;-4623.48101265823;754.873417721517;357.613866789376;4684.6996223017;195.329301881016
6;0;3.807;6.0036;124.953572407623;-4624.49367088608;769.113924050636;353.109554234605;4688.01428541274;198.293896101976
7;0;4.406;6.0036;124.482189853554;-4621.64556962025;790.379746835443;359.397188710644;4688.74267958886;199.496598047815
8;0;5.496;6.0048;126.310480259903;-4607.08860759494;785.379746835443;359.529741315692;4673.55183826716;184.360496042616
9;0;6.096;6.0012;126.901862502375;-4616.20253164557;730.443037974683;362.933270431068;4673.63593414128;184.706625172104
10;0;6.696;6.0036;127.208981767202;-4618.67088607595;715.253164556965;359.739282255087;4673.72526399385;184.549487151229
11;0;7.296;6.0048;126.634430778432;-4622.21518987342;716.962025316454;369.456875444014;4677.48947697827;189.057777783142
12;0;7.897;6.0;126.98544160027;-4628.86075949367;671.582278481012;375.704317248526;4677.32559135561;189.39048050663
13;0;8.497;6.0036;127.287712402261;-4640.12658227848;604.367088607593;396.358818668582;4679.31985200407;193.076510289813
14;0;9.096;6.0;127.883541910176;-4639.3670886076;564.367088607597;418.744460576263;4673.56792970411;189.289858568207
15;0;9.697;6.0012;128.13464112394;-4645.12658227848;508.164556962025;440.989889474446;4672.83984128951;190.602482631146
16;0;10.297;6.0036;128.396057758748;-4640.37974683544;512.721518987342;454.484879542687;4668.61944806741;187.689081212502
17;0;10.897;6.0012;130.138432401359;-4644.24050632911;431.645569620253;423.130236610936;4664.25640144288;180.409759516597
18;0;11.497;6.006;131.292561630822;-4642.59493670886;416.898734177214;393.19523005131;4661.27582330346;174.830136916948
19;0;12.097;6.0012;132.295058914605;-4633.60759493671;424.746835443035;381.491694722236;4653.03440972383;165.647034336185
20;0;12.696;6.0036;132.115658363938;-4638.67088607595;400.506329113926;386.298330288796;4655.92879122834;168.92672341646
21;0;13.297;6.0048;132.489434223929;-4639.36708860759;369.113924050632;393.101843756073;4654.02751085373;167.599654364285
22;0;13.897;6.0036;133.128010118556;-4633.35443037975;371.265822784809;394.611491190691;4648.20520079393;161.925488972728
23;0;14.497;6.0048;133.369561139704;-4628.67088607595;402.784810126584;384.284074970965;4646.16290877492;159.027887642042
24;0;15.097;6.0048;132.448822782003;-4637.46835443038;394.050632911392;384.225942744785;4654.17969567582;167.012656805032
25;0;15.697;6.0036;132.341478879057;-4639.49367088608;382.405063291141;385.81239970232;4655.22664911416;168.186825891973
26;0;16.296;6.0048;132.510012476624;-4640.88607594937;354.430379746833;394.932197123955;4654.40054830138;168.12576413367
27;0;16.897;6.0048;131.645198080795;-4640.3164556962;396.329113924051;407.753945857515;4657.21092238142;172.026936383486
28;0;17.496;6.0036;129.622963830961;-4644.43037974684;430.443037974683;453.632900671934;4664.33433206242;183.341597646105
29;0;18.097;6.0036;128.083339223333;-4641.77215189873;489.999999999998;486.125164041023;4667.56346610762;189.810073426847
30;0;18.697;6.0036;126.698186517895;-4638.35443037974;528.987341772152;528.87216754569;4668.42151370017;195.283218281232
31;0;19.297;6.0048;126.629737391447;-4629.3670886076;574.746835443039;531.236745866875;4664.90874143696;192.059748937619
32;0;19.897;6.006;127.164389816645;-4628.67088607595;562.721518987343;525.536517052987;4662.75129934447;189.274321722327
33;0;20.497;6.0;127.529823510988;-4629.05063291139;549.556962025316;513.571758687919;4661.5579602283;186.763167569304
34;0;21.097;6.006;126.805158078443;-4635.88607594937;572.848101265822;492.771490338526;4671.14489780665;194.064870533036
35;0;21.697;6.0012;126.034751406036;-4653.79746835443;512.721518987342;491.479490142081;4681.95623991669;204.681629180664
36;0;22.297;6.0036;125.83977943587;-4659.6835443038;498.291139240506;486.631474721752;4686.25061136312;208.449350750898
37;0;22.896;6.0048;126.775391400109;-4657.84810126582;464.493670886076;486.353545060706;4680.95111112676;203.149495665428
38;0;23.007;6.0;125.710290956952;-4670.06329113924;427.278481012657;497.5111139425;4689.5690680043;212.885426097528
39;0;23.606;6.0048;125.837416617075;-4676.39240506329;364.303797468356;513.136368516815;4690.56107336676;215.545550874562
40;0;24.207;6.0036;125.507519103884;-4676.39240506329;370.886075949368;522.162051815613;4691.07689208637;217.048264141273
41;0;24.806;6.0036;125.925705435194;-4669.6835443038;402.278481012658;514.686191197368;4686.97902494;212.153683140856
42;0;25.406;6.0012;125.801739184195;-4672.3417721519;401.392405063294;503.804380751003;4689.55152425454;213.536054426166
43;0;26.006;6.0036;126.33550383925;-4664.05063291139;449.81012658228;485.298064939475;4685.69071283382;207.754893663129
44;0;26.605;6.0036;126.927632619777;-4655.06329113924;477.848101265823;479.847107619534;4679.52487464224;201.062743957215
45;0;27.206;6.0036;126.30173915753;-4652.91139240506;516.898734177217;482.296122707288;4681.53486871206;203.312598727937
46;0;27.806;6.0012;126.803598935764;-4642.08860759494;538.544303797469;491.167065881614;4673.22336379457;195.963895852165
47;0;28.407;6.0048;126.243885525465;-4653.2911392405;516.20253164557;485.419703412909;4681.83548196768;203.932734666278
48;0;29.006;6.0036;127.07787178439;-4656.51898734177;464.430379746837;477.426606156101;4679.62227718287;200.913351813781
49;0;29.606;6.0036;127.343389281451;-4662.15189873418;430.506329113925;463.924678993243;4681.98633341425;201.914678722328
50;0;30.206;6.0048;127.668285472746;-4660.50632911392;443.037974683544;446.768712903581;4681.51705013691;199.786851809485
51;0;30.807;6.0048;128.381878872247;-4660.75949367089;436.39240506329;413.241734077821;4681.14488015915;196.349542205162
52;0;31.406;6.0036;128.584465351748;-4663.60759493671;438.354430379746;377.492718375452;4684.16378942762;196.350078320554
53;0;32.006;6.0036;128.59871213899;-4667.08860759494;425.316455696204;366.187482252281;4686.42829440806;197.713076841287
54;0;32.607;6.0036;128.595635544737;-4663.03797468354;435.632911392407;384.015477672936;4683.34273642545;196.060233059521
55;0;33.206;6.0012;128.89890891581;-4659.62025316456;425.822784810123;396.5817822598;4679.03686112482;192.813354232166
56;0;33.807;6.0036;129.662451493719;-4657.27848101266;397.025316455694;402.209898124446;4674.17072341291;188.443781370464
57;0;34.407;6.0036;130.199466906683;-4654.30379746835;385.126582278483;403.38460600724;4670.21052239681;184.599115098204
58;0;35.006;6.0048;129.394711080983;-4660.94936708861;387.151898734178;404.237504325635;4677.00070507341;191.437512115865
59;0;36.096;6.0;132.131505566012;-4647.59493670886;306.898734177214;401.693830077045;4657.71677206348;172.006252603666
60;0;36.696;6.0036;132.243358696129;-4650.56962025317;284.430379746834;397.722040884028;4659.25942975325;173.203722631164
61;0;37.296;6.0036;132.693810714433;-4650.12658227848;263.101265822787;390.101358758068;4657.56368794786;170.87190425619
62;0;37.895;6.0012;133.445170620074;-4647.21518987342;239.303797468355;378.868763974359;4653.37246827212;165.770380816393
63;0;38.496;6.0036;132.945306785359;-4655.06329113924;228.734177215192;361.742342145894;4660.67951787488;171.696898242667
64;0;39.096;6.0036;133.578191192109;-4651.89873417722;235.126582278483;342.317676976177;4657.83708847074;167.399098011208
65;0;39.696;6.0012;133.220310194743;-4654.6835443038;251.13924050633;326.776168580482;4661.45361617325;169.893373498564
66;0;40.296;6.0036;133.932090113148;-4651.89873417722;251.265822784808;306.134023542692;4658.67967848609;165.727277011342
67;0;40.896;6.0036;134.380572934981;-4651.39240506329;243.607594936712;283.855991796834;4657.76727265235;163.408703732485
68;0;41.496;6.0012;134.571538446825;-4650.6329113924;261.265822784809;253.54106738569;4657.96589797324;161.861131859413
69;0;42.096;6.0036;134.491145546867;-4649.3670886076;309.810126582277;224.062344278061;4659.67773984;162.06169019058
70;0;42.695;6.0036;134.91678608248;-4645.94936708861;327.721518987342;197.305586698949;4657.49363022199;158.670989044704
71;0;43.296;6.0012;134.379687951416;-4651.96202531646;315.316455696204;185.004189198615;4662.63607331938;163.304930267656
72;0;43.895;6.0036;134.649606046458;-4655.88607594937;273.164556962024;169.74049147659;4663.8925831755;163.980379415171
73;0;44.495;6.0012;134.818115445162;-4656.70886075949;226.708860759493;192.219808274944;4662.22418180667;163.185034491892
74;0;45.096;6.006;134.719864640926;-4658.41772151899;194.936708860762;227.146266240148;4662.49461003695;165.024358857872
75;0;45.696;6.0012;134.25343232624;-4658.29113924051;179.050632911393;268.957923067798;4661.73095181099;166.483251008994
76;0;46.297;6.0048;134.417864286757;-4654.55696202532;179.050632911389;300.717468142469;4657.99953219022;164.696502294288
