;idxCompression;T;B;F;dx;dy;dz;D2;D3
0;0;0.694;6.0048;111.556444711097;-4697.3417721519;-929.936708860758;394.443510443976;4788.50728378792;301.725558220915
1;0;1.295;6.0012;113.952923771914;-4677.46835443038;-912.531645569621;395.95752704579;4765.6504499243;279.07136856905
2;0;1.894;6.0036;115.17880403456;-4664.24050632911;-915.443037974685;399.019611233557;4753.22789866608;266.946761422665
3;0;2.495;6.0036;114.843297825502;-4664.24050632911;-922.594936708862;404.904543953033;4754.61049068397;268.820261476317
4;0;3.094;6.0036;116.061964538989;-4660.18987341772;-897.025316455696;409.051741359208;4745.7374637318;260.333643760063
5;0;3.694;6.0048;114.591957272718;-4678.35443037974;-890.443037974685;403.063553409767;4762.3407039114;276.36703008031
6;0;4.294;6.0048;113.950870471633;-4688.10126582278;-884.999999999998;393.407973494402;4770.90331893334;284.09602078527
7;0;4.895;6.0;113.785318386335;-4697.59493670886;-858.987341772152;389.43122498571;4775.48504790011;288.337404286132
8;0;5.495;6.0012;115.616864532715;-4685.75949367089;-837.784810126582;392.621239507857;4760.06569498843;273.230402557897
9;0;6.095;6.0048;116.104087581644;-4698.41772151899;-779.367088607594;399.64518039602;4762.61925254249;276.357531604235
10;0;6.694;6.0;117.370057473151;-4689.24050632912;-762.974683544302;401.352456202333;4750.90590244927;264.828718402845
11;0;7.294;6.0012;118.001936706891;-4697.15189873418;-722.278481012659;384.082801746851;4752.35964168496;264.855048395845
12;0;7.895;6.0036;117.745722851452;-4711.70886075949;-686.32911392405;368.576921272919;4761.43340194729;272.677647001976
13;0;8.494;6.0036;117.487701039104;-4727.72151898734;-643.037974683544;345.700799930512;4771.25230919316;280.759780868359
14;0;8.604;6.0036;116.575414837205;-4746.45569620253;-606.582278481013;332.466482962039;4785.05838382153;293.594385485794
15;0;9.205;6.0012;116.339871494456;-4748.86075949367;-611.202531645568;317.615432019383;4788.03164648572;295.554637638882
16;0;9.805;6.0012;115.35120280599;-4750.25316455696;-647.784810126583;316.918500065124;4794.21842301894;301.681844128463
17;0;10.406;6.0012;114.637719256152;-4755.44303797468;-656.329113924051;315.506021823003;4800.52147096607;307.878344233283
18;0;11.005;6.0036;114.036434805554;-4766.77215189873;-639.746835443038;308.118505799573;4809.51065718506;316.370267492716
19;0;11.605;6.0048;114.880675414924;-4764.49367088608;-620.569620253165;295.031895688904;4804.73793182257;310.787533010614
20;0;12.205;6.006;114.178638249304;-4769.6835443038;-636.518987341773;280.200831721583;4811.96815596789;317.119297294052
21;0;12.804;6.0012;115.172568928066;-4757.84810126582;-644.430379746835;269.420202354083;4801.29243736095;305.845632217359
22;0;13.405;6.0036;115.740368608379;-4754.93670886076;-639.746835443038;259.396019293285;4797.78064512447;301.787759470358
23;0;14.004;6.0012;114.153143970266;-4752.08860759493;-717.341772151899;246.462434184721;4805.92606606756;309.241586201991
24;0;14.604;6.0012;113.433409160526;-4741.83544303797;-785.126582278481;233.884845204876;4806.39439903255;309.081591148256
25;0;15.205;6.0048;114.033771312945;-4733.98734177215;-799.493670886076;216.372414213122;4801.0234619137;302.89672209862
26;0;15.805;6.006;115.960792340192;-4717.59493670886;-795.253164556962;200.54721533178;4784.15400908028;285.355539031775
27;0;16.405;6.0036;117.325604844169;-4707.3417721519;-784.936708860759;191.163902787615;4772.33613618774;273.163296464258
28;0;17.004;6.0012;116.942454436981;-4715.82278481013;-767.405063291139;185.764874965384;4777.85465129478;278.464593372004
29;0;17.604;6.0036;117.680427850222;-4711.45569620253;-763.101265822784;171.379918659222;4772.8543157297;272.930212607725
30;0;18.205;6.0012;117.847896650447;-4718.86075949367;-732.721518987342;149.421380436083;4775.40864134959;274.745748866063
31;0;18.804;6.0012;118.530384048459;-4723.86075949367;-692.59493670886;128.472154591501;4774.36364570598;273.091845425952
32;0;19.405;6.0036;119.843575523432;-4723.98734177215;-645.189873417723;120.945297285654;4767.84294812489;266.376703817786
33;0;20.004;6.0036;120.395012200373;-4722.84810126583;-629.113924050633;114.571579941636;4764.56488223894;262.942211566871
34;0;20.605;6.0036;121.229765217497;-4723.48101265823;-590.506329113923;119.422040545468;4760.24900626705;258.746762001781
35;0;21.204;6.0048;122.726360144449;-4719.30379746835;-543.291139240505;131.493473066933;4750.4729864274;249.292512907394
36;0;21.804;6.0012;122.414891264247;-4722.91139240506;-530.506329113923;147.239143505676;4752.6128588114;251.89309565628
37;0;22.404;6.0;122.28322687322;-4721.70886075949;-542.6582278481;142.19256186761;4752.78997200865;251.916533723429
38;0;23.004;6.0036;122.386759833414;-4725.69620253165;-523.987341772152;133.694031214397;4754.65743592106;253.536705097714
39;0;23.604;6.0036;121.179273950829;-4737.78481012658;-521.518987341773;120.091122457798;4766.40188834556;264.914516737618
40;0;24.204;6.0;120.55869237949;-4745.06329113924;-507.531645569619;122.75683195663;4772.12887589719;270.707495015146
41;0;24.804;6.0012;120.12589535337;-4754.11392405064;-480.569620253164;123.508905793601;4778.34138198208;276.937323079951
42;0;25.403;6.0012;120.001869587207;-4754.62025316455;-478.354430379746;144.77468822368;4778.62288874802;277.81545588373
43;0;26.003;6.0036;121.83568881864;-4740.50632911392;-460.569620253166;160.864504914371;4762.82737787853;262.54320307881
44;0;26.605;6.0036;123.328643353208;-4730.56962025316;-434.303797468354;172.64044874582;4750.46405318024;250.600051024566
45;0;27.204;6.0036;123.611365898729;-4725.69620253165;-445.696202531646;181.159742788719;4746.66722064789;247.123004300038
46;0;27.804;6.0036;124.534357365932;-4721.77215189873;-415.189873417722;188.175122699059;4739.99102166186;240.724777243914
47;0;28.404;6.0048;125.328071463701;-4707.15189873418;-460.949367088607;198.08271410687;4729.66735794138;230.813481581642
48;0;29.005;6.0012;125.192872711302;-4707.46835443038;-459.113924050632;202.013439175849;4729.80379119691;231.115897697087
49;0;29.604;6.0036;126.333873539855;-4699.43037974684;-450.316455696201;203.648579161257;4720.95655607614;222.346923576371
50;0;30.204;6.0036;127.412107782222;-4693.48101265823;-431.962025316455;197.899965565983;4713.31679473158;214.469618754297
51;0;30.804;6.0012;127.025339361394;-4692.59493670886;-454.050632911391;198.869644247882;4714.51049604016;215.703037135961
52;0;31.404;6.0012;127.476842297456;-4685.82278481013;-469.556962025317;202.794260944994;4709.29070149977;210.655102306956
53;0;32.004;6.0048;128.152908689199;-4676.07594936709;-496.708860759494;203.689644576058;4702.38301041146;203.792479801275
54;0;32.605;6.0;128.442577611462;-4664.11392405063;-541.202531645571;201.863640701676;4695.40827583529;196.745504409775
55;0;33.204;6.0012;128.568090734763;-4657.59493670886;-566.898734177215;208.759906562335;4691.96811255871;193.609997418952
56;0;33.804;6.0012;129.388831821037;-4640.06329113924;-613.481012658229;214.183234960149;4680.44295966419;182.341050212683
57;0;34.404;6.0048;129.011462530769;-4632.27848101266;-664.746835443039;210.863598654834;4679.73207362179;181.480306087554
58;0;35.004;6.0012;127.436542400755;-4629.74683544304;-725.822784810126;202.881683398524;4686.29645618417;187.686032202855
59;0;35.604;6.006;127.473428037115;-4631.64556962025;-723.670886075949;196.940997955618;4687.83961265068;188.974636612246
60;0;36.204;5.9988;125.025649827698;-4635.56962025316;-780.759493670887;194.09368192817;4700.86067557541;201.865933109648
