idxAnalysis;T;Tabs;B;F;dx;dy;dz;D2;D3
0;0.5169999999998254;16319.288;5.007;29.959133868801445;-4.448987341772152;-2.124177215189873;-2.85075;4.930072738690641;5.69494449237924
0;0.6269999999985885;16319.398;5.002;28.190761968191012;-4.44379746835443;-2.2672151898734176;-2.85075;4.98874740360203;5.745813799580177
0;1.2259999999987485;16319.997;5.005;27.790845855234462;-4.4488607594936695;-2.259493670886076;-2.884;4.989756878459794;5.763256866229096
0;1.826999999999316;16320.598;5.004;28.173753514549176;-4.4529113924050625;-2.267848101265823;-2.85075;4.997154678317032;5.753114846891708
0;2.425999999999476;16321.197;5.002;26.95487837958745;-4.7366455696202525;-2.4154430379746836;-2.7475;5.3169705962985665;5.984892026753994
0;3.0270000000000437;16321.798;5.007;32.620998922283235;-4.592151898734178;-2.2167721518987342;-2.5707500000000003;5.099209530356804;5.710577326066224
-1;3.6260000000002037;16322.397;5.002;29.387160346460412;-4.7436708860759484;-2.392784810126583;-2.57425;5.312987165707921;5.903778085724182
-1;3.6419999999998254;16322.413;5.004;31.853376249981658;-4.634430379746836;-2.2484177215189876;-2.57425;5.15105107673774;5.758479856495205
-1;3.6559999999990396;16322.427;5.005;32.24043078431458;-4.622658227848102;-2.2255696202531645;-2.57425;5.130509645842757;5.740112567588337
-1;3.6719999999986612;16322.443;4.93;31.56715874738066;-4.6173417721518994;-2.2296202531645566;-2.57425;5.127480035473607;5.737404864281449
-1;3.6859999999996944;16322.457;4.928;31.545644126486906;-4.610379746835443;-2.233037974683545;-2.57425;5.122700460344059;5.733133791296801
-1;3.701999999999316;16322.473;4.926;31.453731014370543;-4.61873417721519;-2.2349367088607592;-2.57425;5.131047406952019;5.74059322325568
-1;3.7159999999985303;16322.487;4.919;32.26949585653499;-4.619367088607595;-2.2255696202531645;-2.52525;5.127544483854316;5.715645195111819
-1;3.731999999999971;16322.503;4.915;32.98879936949656;-4.61886075949367;-2.2324683544303805;-2.471;5.130086711657371;5.694175152655873
-1;3.745999999999185;16322.517;4.912;33.84834549009775;-4.6186708860759484;-2.22873417721519;-2.4185;5.1282918000609765;5.669966405241979
-1;3.760999999998603;16322.532;4.91;35.4701203766188;-4.61506329113924;-2.2325316455696194;-2.31525;5.126695498046549;5.625245709494897
-1;3.7770000000000437;16322.548;4.904;36.31156053745428;-4.619367088607595;-2.2278481012658236;-2.26275;5.12853385107525;5.60552379569695
-1;3.790999999999258;16322.562;4.906;36.35686083070531;-4.617278481012658;-2.227468354430379;-2.26275;5.126487671028902;5.603651791797144
-1;3.8069999999988795;16322.578;4.901;36.298645984088516;-4.623101265822784;-2.222911392405063;-2.2645;5.129756365806903;5.607348805142806
-1;3.8209999999999127;16322.592;4.895;35.384764500456946;-4.61873417721519;-2.2266455696202536;-2.31525;5.127441456758446;5.625925564294747
-1;3.8369999999995343;16322.608;4.89;35.201575112107015;-4.6226582278481;-2.2239873417721516;-2.3240000000000003;5.129823465564336;5.631701766593691
-1;3.8509999999987485;16322.622;4.884;35.14070778714295;-4.621075949367088;-2.225000000000001;-2.3240000000000003;5.128836898344394;5.630803133640791
-1;3.867000000000189;16322.638;4.881;35.21125610416402;-4.614746835443038;-2.2201898734177212;-2.3257499999999998;5.121047883906001;5.624432815116394
-1;3.8809999999994034;16322.652;4.881;35.08231195486669;-4.614367088607596;-2.2286708860759488;-2.3257499999999998;5.124388504677167;5.627474620943882
-1;3.896999999999025;16322.668;4.873;35.00136878111642;-4.6191772151898745;-2.2281012658227852;-2.3240000000000003;5.128472813234987;5.630471507439709
-1;3.911000000000058;16322.682;4.868;34.929035161889935;-4.617784810126582;-2.2303797468354434;-2.3240000000000003;5.128209274954517;5.630231466621025
-1;3.92699999999968;16322.698;4.862;34.87436417916246;-4.6173417721518994;-2.2303797468354425;-2.3240000000000003;5.127810337361609;5.6298681028912725
-1;3.940999999998894;16322.712;4.855;34.87409605208575;-4.614367088607595;-2.2275949367088606;-2.3240000000000003;5.12392065029074;5.626325517642566
-1;3.9569999999985157;16322.728;4.849;34.72976189265477;-4.620822784810127;-2.2296835443037963;-2.3240000000000003;5.130642446746757;5.6324477730698534
-1;3.970999999999549;16322.742;4.844;34.67014808960217;-4.6221518987341765;-2.2296835443037972;-2.3240000000000003;5.131839522306898;5.633538220577819
-1;3.9869999999991705;16322.758;4.842;34.7731985970512;-4.620632911392405;-2.2316455696202535;-2.31525;5.131324434319891;5.629464718136917
