;idxAnalysis;T;B;F;dx;dy;dz;D2;D3
0;0;0.701;6.006;140.642757913226;-4572.53164556962;-153.797468354431;-531.769958656901;4575.11740953255;102.917780414432
1;0;1.3;6.0012;142.999472334721;-4552.72151898734;-185.632911392405;-526.494673156688;4556.50445047982;83.8212792853419
2;0;1.9;6.0012;145.358711230116;-4536.83544303797;-177.025316455696;-522.105168384298;4540.28785429645;67.2087049417569
3;0;2.5;6.0012;145.315177275804;-4539.30379746835;-157.088607594937;-517.484759390427;4542.02111359544;68.4052842149213
4;0;3.101;6.0036;145.862439666593;-4533.16455696202;-185.12658227848;-522.274694193726;4536.94310653801;63.905255001242
5;0;3.701;6.0;145.042311051769;-4535.88607594937;-192.721518987341;-531.594220798705;4539.97842262187;67.9951316380448
6;0;4.301;6.0036;143.074373783185;-4547.78481012658;-206.075949367089;-543.696006196419;4552.45142490567;81.8030844606137
7;0;4.901;6.0012;143.783251279139;-4542.34177215189;-179.430379746836;-551.238887317016;4545.88429639516;76.184244721172
8;0;5.501;6.0012;140.40006985328;-4558.98734177215;-261.772151898734;-560.39070518854;4566.49649533955;97.752980155542
9;0;6.102;6.0048;134.174210272254;-4585.12658227848;-289.683544303799;-651.881046236982;4594.26842177916;137.285684071636
10;0;6.702;6.0012;130.010173736738;-4605.94936708861;-240.189873417721;-720.766565209895;4612.20779534881;165.186498952333
11;0;7.301;6.0012;128.768045600293;-4599.49367088607;-207.721518987342;-790.434995739418;4604.18182286185;168.539119012174
12;0;7.901;6.0036;129.170115767505;-4601.77215189874;-258.354430379746;-757.58916628092;4609.0187621323;167.866653475967
13;0;8.502;6.0036;130.235236297946;-4609.17721518988;-280.506329113923;-688.686055766413;4617.70488464762;165.7778791784
14;0;9.1;6.006;133.559772016395;-4603.03797468355;-217.911392405062;-627.622724731823;4608.19313520155;147.73695836676
15;0;9.7;6.0;136.62572125869;-4596.51898734177;-174.303797468354;-553.407613524047;4599.82267210436;129.993481703994
16;0;10.3;6.0048;136.0789953166;-4606.01265822785;-216.26582278481;-517.904412217157;4611.08702085093;137.080655985836
17;0;10.901;6.0036;135.740275701983;-4605.82278481013;-152.848101265822;-552.79494540268;4608.35828328665;138.395083248076
18;0;11.5;6.0048;132.300340022432;-4617.02531645569;-162.658227848101;-627.398238541244;4619.88966014119;159.296539432486
19;0;12.1;6.0012;128.519341870127;-4633.10126582278;-159.493670886077;-688.719181548744;4635.84572331968;183.725902104214
20;0;12.701;6.0;126.81504108786;-4628.41772151899;-157.594936708861;-760.057046518063;4631.09995238143;190.05587894594
21;0;13.3;6.0048;126.840823765711;-4638.22784810127;-92.4050632911397;-739.311262543111;4639.14822641225;194.688517723057
22;0;13.9;6.0036;128.600831994533;-4639.11392405063;-81.3924050632912;-678.36800234965;4639.82787654051;186.156200270396
23;0;14.501;6.0012;132.413004992832;-4624.6835443038;-73.1012658227849;-603.061582270464;4625.26125532593;161.41046135841
24;0;15.1;6.0036;134.352859393659;-4624.49367088608;-66.8987341772162;-532.384337852652;4624.97752996703;152.518256423306
25;0;15.701;6.006;133.951114841735;-4637.91139240507;-70.1898734177221;-480.369398853091;4638.44248666846;160.250310833162
26;0;16.3;6.0012;133.773805085874;-4639.74683544304;-60.6962025316458;-472.688933472559;4640.14382600426;161.157968361799
27;0;16.901;6.0012;134.670772809406;-4631.20253164557;-12.5316455696189;-484.031186455539;4631.21948640539;153.445008879904
28;0;17.501;6.0012;133.42463418294;-4641.20253164557;-24.1772151898737;-483.710045860063;4641.26550387797;163.403420832101
29;0;18.1;6.0048;135.399105186922;-4627.59493670886;-9.4303797468355;-476.595062496595;4627.60454558464;149.081973043013
30;0;18.701;6.0048;135.833290573891;-4617.6582278481;-35.0632911392406;-511.159233234848;4617.79134907574;142.996201604132
31;0;19.3;6.0012;133.514417964031;-4627.46835443038;-22.9746835443038;-552.071319940636;4627.52538700098;157.340540093561
32;0;19.9;6.006;132.629114348631;-4626.70886075949;-22.5949367088607;-595.247276514402;4626.7640326037;161.89707642013
