idxAnalysis;T;Tabs;B;F;dx;dy;dz;D2;D3
0;0.0;25588.498;4.9049;85.4854865950786;4.5782911392405055;-1.667848101265821;0.455;4.872624246188509;4.8938218239474285
0;0.7860000000000582;25589.284;4.90686;83.47465442936931;4.600443037974684;-1.68386075949367;0.48125000000000007;4.898924698646871;4.922505943674658
0;1.3869999999988067;25589.885;4.9049;84.25874821521565;4.600189873417721;-1.6768354430379728;0.42874999999999996;4.896276541875806;4.915012770789441
0;1.9860000000007858;25590.484;4.90196;84.16304866003217;4.592594936708863;-1.6970253164556972;0.39025;4.8961028560862;4.91163091445962
0;2.5869999999995343;25591.085;4.90686;84.65449663671569;4.597594936708861;-1.6884177215189868;0.35525;4.897819270286555;4.910685916131302
0;3.188000000001921;25591.686;4.903919999999999;84.71026967178358;4.596708860759493;-1.6956962025316438;0.308;4.899501807517277;4.909173246267142
-1;3.7880000000004657;25592.286;4.90686;85.47815063085945;4.566708860759493;-1.717594936708861;0.308;4.879032914989115;4.888744847662555
-1;3.8029999999998836;25592.301;4.90196;86.09195329812721;4.565759493670886;-1.7005696202531626;0.30974999999999997;4.872175775500491;4.882012069820578
-1;3.816999999999098;25592.315;4.90196;86.03416335354326;4.570253164556964;-1.6937974683544286;0.322;4.874029529244444;4.8846543226667345
-1;3.8329999999987194;25592.331;4.8313999999999995;83.76046796420492;4.570189873417721;-1.7026582278481004;0.35525;4.877056542623708;4.889977820240979
-1;3.8470000000015716;25592.345;4.82944;83.84051310860201;4.569240506329114;-1.703924050632913;0.3395;4.876609065221859;4.888412444240361
-1;3.8630000000011933;25592.361;4.826499999999999;83.41122948132141;4.57386075949367;-1.702341772151898;0.36224999999999996;4.8803862302536345;4.8938118904336
-1;3.878000000000611;25592.376;4.82454;83.33765188274306;4.568354430379747;-1.7098734177215182;0.364;4.8778611405206;4.8914236482031415
-1;3.8919999999998254;25592.39;4.8186599999999995;83.29229388897781;4.57246835443038;-1.707215189873417;0.3395;4.880783805578956;4.892577113015368
-1;3.907999999999447;25592.406;4.81572;83.05178467333096;4.57386075949367;-1.7101265822784797;0.33775;4.883107122995715;4.894773767719146
-1;3.9219999999986612;25592.42;4.81376;82.92194031031916;4.572594936708861;-1.713924050632912;0.33775;4.8832530250390915;4.894919322016803
-1;3.938000000001921;25592.436;4.80788;83.25657135090141;4.568354430379747;-1.7070886075949354;0.3395;4.8768856574406865;4.888688368647635
-1;3.952000000001135;25592.45;4.80984;82.8668547428678;4.571835443037975;-1.7086075949367077;0.364;4.880678152848602;4.894232854257512
-1;3.9680000000007567;25592.466;4.80298;82.86048787262459;4.568291139240508;-1.7093037974683547;0.364;4.877602218806191;4.891165444441956
-1;3.981999999999971;25592.48;4.80102;82.72926329490302;4.569873417721519;-1.714810126582278;0.33775;4.881015962299948;4.892687593411916
-1;3.9979999999995925;25592.496;4.794160000000001;82.55090201386447;4.573037974683542;-1.7108227848101252;0.3395;4.882580354579249;4.894369333113637
-1;4.011999999998807;25592.51;4.78632;82.47701497861964;4.571202531645567;-1.7053797468354444;0.364;4.878956104151723;4.892515576494301
-1;4.028000000002066;25592.526;4.78338;82.71680711889665;4.571329113924049;-1.7023417721518999;0.3395;4.878013671262403;4.889813659744398
-1;4.042000000001281;25592.54;4.78338;82.59053659825025;4.575632911392406;-1.69993670886076;0.3395;4.881209005354073;4.893001287957086
-1;4.058000000000902;25592.556;4.77358;82.16310506684795;4.572405063291141;-1.7046202531645565;0.36224999999999996;4.879817442313724;4.893244663084941
-1;4.072000000000116;25592.57;4.7726;82.40060311606938;4.574177215189876;-1.7009493670886058;0.336;4.880197326477828;4.891750396878538
-1;4.087999999999738;25592.586;4.7628;82.12766991405853;4.570126582278479;-1.7016455696202528;0.364;4.8766437867304395;4.890209670623193
-1;4.101999999998952;25592.6;4.7579;82.01061802367242;4.572151898734174;-1.6994303797468335;0.36224999999999996;4.87776963382907;4.891202476202041
-1;4.118000000002212;25592.616;4.75202;81.96822290446005;4.575506329113924;-1.6929113924050607;0.3605;4.878648086334618;4.89194924343011
-1;4.13300000000163;25592.631;4.745159999999999;81.75730989516003;4.577594936708862;-1.692215189873419;0.357;4.880365524570976;4.893405425000154
-1;4.148000000001048;25592.646;4.7432;81.81600643332229;4.576772151898734;-1.6905696202531635;0.357;4.879023362448543;4.892066840438578
-1;4.163000000000466;25592.661;4.73634;81.6841903856066;4.578354430379744;-1.6877215189873398;0.357;4.8795218224566606;4.892563971562433
-1;4.177999999999884;25592.676;4.72948;81.67736748192034;4.575126582278483;-1.6879746835443048;0.357;4.8765809514615555;4.88963094478077
-1;4.191999999999098;25592.69;4.7236;81.33218158229695;4.576582278481013;-1.6907594936708858;0.3605;4.878911048291892;4.892211490435045
-1;4.207999999998719;25592.706;4.71674;81.42523600458522;4.575253164556961;-1.6869620253164554;0.35525;4.876349289647767;4.889272436380313
-1;4.222000000001572;25592.72;4.7089;81.32830098865105;4.574620253164556;-1.6858860759493688;0.35350000000000004;4.875383299981993;4.888182133650844
-1;4.238000000001193;25592.736;4.70204;81.11696940451479;4.5766455696202515;-1.683417721518988;0.35874999999999996;4.876431061242315;4.889609540397767
-1;4.2520000000004075;25592.75;4.693219999999999;81.02861082613585;4.576139240506329;-1.6813291139240505;0.357;4.875235167438641;4.888288753524128
-1;4.268000000000029;25592.766;4.685379999999999;80.891654232352;4.578607594936708;-1.6771518987341787;0.35525;4.8761138214606685;4.889037590604082
-1;4.281999999999243;25592.78;4.6746;80.48711318860882;4.579240506329112;-1.6796202531645577;0.35874999999999996;4.877557566000209;4.890733009697614
-1;4.297999999998865;25592.796;4.66382;80.43019747986149;4.578354430379744;-1.6751898734177226;0.3605;4.8752015755432225;4.8885121102620905
-1;4.312000000001717;25592.81;4.658919999999999;80.28695073013536;4.577025316455696;-1.6784810126582266;0.357;4.875085564103522;4.888139549698899
-1;4.328000000001339;25592.826;4.648140000000001;80.33662381232237;4.572974683544302;-1.6768987341772137;0.35175;4.870737810745129;4.883422455975138
-1;4.342000000000553;25592.84;4.635400000000001;79.69355885810687;4.578544303797465;-1.679430379746835;0.34825;4.876838560199919;4.889256835629809
