idxAnalysis;T;B;F;dx;dy;dz;D2;D3
0;0;5.75115;90.7693234508983;-4660;866.582278481013;1179.10971335665;4739.89080521665;381.348939368416
0;0.721;5.75345;90.6997937706387;-4658.35443037974;872.974683544303;1181.43123037878;4739.44625427358;381.478534015908
0;1.32;5.75345;90.2787025621341;-4658.86075949367;876.012658227848;1190.61320448589;4740.50437756631;384.733785346901
0;2.411;5.75115;89.4908422486517;-4657.46835443038;864.177215189874;1223.71923277547;4736.96250056656;389.474066608668
0;3.011;5.75345;91.5773377322528;-4661.32911392405;829.113924050632;1180.80047549496;4734.49247621861;376.519317545503
0;3.611;5.75345;92.6712470606368;-4665.94936708861;803.227848101265;1156.65448434502;4734.58112954039;370.818633100271
0;4.21;5.75345;92.1615023728589;-4681.39240506329;782.151898734176;1152.39672940155;4746.28238128303;381.180040171852
0;4.811;5.75345;90.6964150987346;-4701.45569620253;755.253164556962;1170.34526373972;4761.73214344618;400.447872903977
0;5.41;5.75115;90.2827943737027;-4698.92405063291;780.696202531645;1170.22671856136;4763.33641413912;401.977509336678
0;5.52;5.75115;90.1747890785202;-4710.82278481013;777.025316455696;1149.80126113406;4774.47585105416;407.973690868727
0;6.121;5.75115;89.5526587427494;-4717.6582278481;766.518987341772;1161.01821399357;4779.52408851952;415.517439835215
0;6.721;5.75115;87.9563313635297;-4724.24050632911;788.924050632912;1181.59653854506;4789.6606893712;430.256520718281
0;7.32;5.75575;89.8126309014542;-4713.10126582278;792.405063291138;1148.60876574422;4779.24987066273;412.336348915935
0;7.921;5.7546;90.9773418552287;-4711.51898734177;794.746835443037;1113.00102556028;4778.078452739;402.996838913267
0;8.522;5.75345;90.8947775779779;-4708.98734177215;811.392405063292;1108.65870544038;4778.38041808778;402.307691176312
0;9.122;5.75345;91.2684796546381;-4699.93670886076;825.379746835443;1107.35069337326;4771.86093613205;395.661281605139
0;9.722;5.75115;91.526869851462;-4700.94936708861;818.481012658227;1100.32670553183;4771.67016043783;393.892379756709
0;10.322;5.75115;91.5010807676797;-4701.70886075949;823.670886075948;1095.49638119884;4773.31121339406;394.408729229489
0;10.922;5.75345;91.1189137981744;-4696.45569620253;836.13924050633;1112.05570608545;4770.30658720252;395.213228244043
0;11.52;5.7546;90.6985471544897;-4690.37974683544;836.898734177214;1139.1982861906;4764.45817074634;395.758454552657
0;12.12;5.75345;90.4719295285817;-4685.37974683544;838.101265822784;1155.60336746885;4759.74758824767;395.021666625707
0;12.72;5.75345;90.2415587299153;-4681.32911392405;838.797468354431;1170.93375969311;4755.88303743802;394.908669562934
0;13.32;5.75115;89.5280546702826;-4685.06329113924;841.645569620253;1181.03520865272;4760.06148141406;401.388796875633
0;13.92;5.75115;89.2831502234798;-4685.69620253165;830.063291139241;1195.24547753787;4758.65043575554;403.46162945265
0;14.52;5.75345;88.8742408989744;-4687.21518987342;810.569620253164;1219.00886156705;4756.78561062588;407.49813664932
0;15.12;5.75575;89.7964527961477;-4681.83544303797;807.46835443038;1206.3639649955;4750.95656253487;398.724418521789
0;15.72;5.75115;90.4106490173741;-4685.44303797469;794.81012658228;1186.01102106891;4752.37830979639;395.134516478708
0;16.32;5.75115;91.225672234393;-4687.53164556962;784.240506329113;1164.1420816967;4752.68199020132;390.180242578552
