idxAnalysis;T;Tabs;B;F;dx;dy;dz;D2;D3
0;0.6640000000006694;29604.52;5.5633360000000005;135.30129264779458;4.669556962025316;-0.2444936708860759;-0.063;4.67595331207471;4.6763776982513345
0;1.2629999999990105;29605.119;5.5611120000000005;134.72706376236576;4.6734810126582245;-0.24063291139240459;-0.0945;4.679671887400027;4.680625943580851
0;1.8630000000011933;29605.719;5.564448;134.79519767772527;4.675949367088607;-0.2160126582278488;-0.0945;4.680936226022632;4.681890024561769
0;2.463999999999942;29606.32;5.5633360000000005;134.77777751799806;4.67886075949367;-0.1893037974683535;-0.05775;4.682688750543391;4.683044842510652
0;3.063000000001921;29606.919;5.5611120000000005;134.9816029866661;4.678734177215189;-0.15196202531645456;-0.059500000000000004;4.681201337069339;4.681579456570161
0;3.6640000000006694;29607.52;5.564448;134.41885780233218;4.684177215189873;-0.1551898734177214;-0.07525;4.686747281443214;4.687351346188523
1;3.7740000000012515;29607.63;3.3415600000000003;65.20383533549828;4.682784810126582;-0.16791139240506456;-0.2135;4.685794256436325;4.690655611282036
1;3.794000000001688;29607.65;3.3415600000000003;64.60857441174619;4.688101265822785;-0.16873417721519146;-0.2765;4.691136823965986;4.699278343657639
1;3.808000000000902;29607.664;3.3393360000000003;64.23163793143945;4.690696202531646;-0.17018987341772107;-0.30624999999999997;4.693782638497307;4.7037628043895605
1;3.824000000000524;29607.68;3.3460080000000003;64.4093296158404;4.690696202531646;-0.16740506329113808;-0.30974999999999997;4.6936824902905725;4.703892046184767
1;3.837999999999738;29607.694;3.3815920000000004;65.124327477863;4.689999999999999;-0.1732911392405063;-0.357;4.6932003812898575;4.706758844357682
1;3.8539999999993597;29607.71;3.4305200000000005;66.44311039385002;4.690886075949366;-0.17683544303797538;-0.35874999999999996;4.69421803407661;4.707906595712162
1;3.867999999998574;29607.724;3.5028;67.91725947079686;4.691139240506329;-0.1770886075949368;-0.42874999999999996;4.6944805621877075;4.714018912908412
1;3.8840000000018335;29607.74;3.5973200000000003;71.24123685469472;4.690632911392406;-0.17677215189873458;-0.35874999999999996;4.693962665288733;4.707651969466786
1;3.8980000000010477;29607.754;3.7074080000000005;74.4396416115662;4.691202531645568;-0.1734177215189879;-0.35525;4.694406767532467;4.707829378976539
1;3.9140000000006694;29607.77;3.8441840000000003;78.46649908488337;4.691012658227848;-0.169746835443039;-0.35525;4.694082844155695;4.70750637920936
1;3.9279999999998836;29607.784;3.9976400000000005;83.45903470375184;4.689810126582278;-0.16810126582278517;-0.3115;4.692821865249618;4.703148871656617
1;3.9439999999995052;29607.8;4.171112;88.66204415819287;4.690253164556965;-0.16696202531645601;-0.308;4.693223952203261;4.703319579353969
1;3.9579999999987194;29607.814;4.365712;94.43754440014142;4.691645569620252;-0.17177215189873407;-0.30624999999999997;4.694789007304296;4.704767038398953
1;3.974000000001979;29607.83;4.582552000000001;100.9242846066784;4.689177215189873;-0.1726582278481;-0.3395;4.69235482664083;4.704620502133992
1;3.9880000000011933;29607.844;4.822744;108.25223973734796;4.6882278481012625;-0.1741139240506332;-0.35175;4.6914599022330465;4.70462794243716
1;4.004000000000815;29607.86;5.075168000000001;116.69947853058308;4.686582278481013;-0.17727848101265745;-0.3115;4.689934020090521;4.700267371416485
1;4.018000000000029;29607.874;5.353168;125.56335768069015;4.685126582278483;-0.18139240506329202;-0.3115;4.688636720475057;4.69897292464929
1;4.033999999999651;29607.89;5.647848000000001;135.17259871590002;4.6826582278481;-0.17936708860759512;-0.31325;4.686092255953683;4.696550456857572
1;4.047999999998865;29607.904;5.964768;145.25684985312432;4.683987341772152;-0.17158227848101346;-0.30974999999999997;4.687128960906718;4.697352760722841
1;4.063999999998487;29607.92;6.306152000000001;157.0124592293407;4.682911392405064;-0.16936708860759414;-0.26425;4.685973145443809;4.693417985042515
1;4.078000000001339;29607.934;6.666440000000001;167.87469266234632;4.683734177215189;-0.1666455696202538;-0.31325;4.686697834156551;4.6971546867425715
1;4.09400000000096;29607.95;7.04452;180.82499907131555;4.678924050632912;-0.1667721518987336;-0.31325;4.681895259640057;4.692362814695816
1;4.108000000000175;29607.964;7.447064000000001;192.8262121313208;4.680759493670887;-0.16493670886075915;-0.35525;4.683664543444584;4.697117852260039
1;4.123999999999796;29607.98;7.864064000000001;206.67025888578604;4.678417721518986;-0.1596202531645564;-0.3605;4.681139925514214;4.695000665840551
1;4.138999999999214;29607.995;8.30664;221.4005310889202;4.676455696202534;-0.16208860759493715;-0.35874999999999996;4.67926389459466;4.692996074764733
1;4.152999999998428;29608.009;8.76812;237.48631267637955;4.6767088607594935;-0.1617721518987349;-0.3115;4.679505956555276;4.689862284485154
1;4.169000000001688;29608.025;9.249616;252.59679060137023;4.675443037974684;-0.1582278481012658;-0.34475;4.678119670686152;4.690805497540983
1;4.183000000000902;29608.039;9.754464;269.33456377625066;4.67360759493671;-0.14892405063291014;-0.34825;4.675979718124001;4.6889299831418905
1;4.199000000000524;29608.055;10.277104000000001;286.40419167886665;4.671455696202533;-0.1442405063291137;-0.35874999999999996;4.673682022265654;4.687430554978833
1;4.212999999999738;29608.069;10.819760000000002;304.61726114000743;4.670949367088607;-0.13898734177215177;-0.3395;4.673016742007067;4.685333042706606
1;4.22899999999936;29608.085;11.384656;320.5054521629454;4.672531645569621;-0.13481012658227998;-0.3885;4.674475986576322;4.690592499789198
1;4.242999999998574;29608.099;11.969568;340.29513680300056;4.670759493670886;-0.13360759493671;-0.36574999999999996;4.672670032983442;4.686962587821827
1;4.2590000000018335;29608.115;12.575608;359.13072114286115;4.670949367088607;-0.1327215189873405;-0.3675;4.672834577802617;4.687263513128717
1;4.273000000001048;29608.129;13.203888000000001;376.7383194970322;4.670632911392408;-0.13455696202531675;-0.40950000000000003;4.672570745212041;4.69048053178045
1;4.289000000000669;29608.145;13.847736000000001;397.4570974790872;4.670506329113926;-0.12639240506329022;-0.39025;4.672216220419483;4.688485840103489
1;4.302999999999884;29608.159;14.514936000000002;419.44016332837964;4.668987341772151;-0.12303797468354356;-0.364;4.6706082195836975;4.68477076716063
1;4.318999999999505;29608.175;15.198816;438.7975404178453;4.6678481012658235;-0.11620253164556862;-0.3955;4.669294264110134;4.686014209843137
1;4.332999999998719;29608.189;15.907160000000001;462.0487887876967;4.665632911392404;-0.10772151898734166;-0.36924999999999997;4.666876298930678;4.681461305193166
1;4.349000000001979;29608.205;16.638856;486.5662625304472;4.666455696202533;-0.1080379746835457;-0.29925;4.66770617847726;4.67728890823464
1;4.363000000001193;29608.219;17.385008000000003;511.0948001273036;4.665379746835444;-0.1095569620253161;-0.23975000000000002;4.666665930845122;4.672820451569969
1;4.379000000000815;29608.235;18.156736000000002;535.3006335143235;4.664556962025316;-0.10892405063291162;-0.19075;4.6658285545854685;4.669726080112743
1;4.393000000000029;29608.249;18.945144;560.6622059664503;4.6615822784810135;-0.10854430379746857;-0.1295;4.662845826845996;4.6646437650623565
1;4.408999999999651;29608.265;19.756904000000002;582.7761872416411;4.661455696202532;-0.10493670886075866;-0.15575;4.662636691886422;4.66523729118097
1;4.422999999998865;29608.279;20.586456000000005;605.5765157713568;4.6617721518987345;-0.09797468354430391;-0.15225;4.662801586475042;4.665286561116495
1;4.438999999998487;29608.295;21.440472;627.7428165157668;4.660696202531646;-0.1014556962025304;-0.19075;4.66180033362486;4.665701224155363
1;4.453000000001339;29608.309;22.310056;652.6215890759582;4.659620253164558;-0.10424050632911337;-0.14875000000000002;4.66078609108604;4.663159181216216
1;4.46900000000096;29608.325;23.204104000000005;676.8821347637921;4.659683544303797;-0.09854430379746938;-0.112;4.660725449204933;4.6620709682357395
1;4.483000000000175;29608.339;24.115944000000002;699.7355623815744;4.658860759493671;-0.0928481012658236;-0.14525000000000002;4.659785869142338;4.662049110504801
1;4.498999999999796;29608.355;25.048912;724.2396416843745;4.658227848101267;-0.09405063291139176;-0.11375;4.659177202723373;4.660565552470772
1;4.513999999999214;29608.37;26.004120000000004;745.045569051891;4.660443037974683;-0.09506329113923931;-0.1505;4.661412483306848;4.66384139841064
1;4.527999999998428;29608.384;26.981568000000003;769.7673235083547;4.658607594936709;-0.08829113924050697;-0.14700000000000002;4.659444178104334;4.66176244020117
1;4.546999999998661;29608.403;27.973472;795.0228982464853;4.657215189873417;-0.08753164556962087;-0.11025;4.658037689173824;4.659342247170068
1;4.558000000000902;29608.414;28.989840000000004;816.999406757565;4.6573417721518995;-0.08424050632911502;-0.14875000000000002;4.6581035674979985;4.660478023554835
1;4.574000000000524;29608.43;30.026224000000003;840.3343051841285;4.65537974683544;-0.07981012658228;-0.1785;4.656063814376977;4.659484144575522
1;4.587999999999738;29608.444;31.081512000000004;861.3440834862035;4.655949367088605;-0.07879746835443066;-0.21;4.6566161050608255;4.661348898110059
1;4.60399999999936;29608.46;32.159040000000005;880.9444546029454;4.654430379746836;-0.07177215189873509;-0.27825;4.654983716587895;4.663292448924735
1;4.617999999998574;29608.474;33.258808;898.7036740537048;4.653987341772153;-0.0733544303797481;-0.3395;4.6545653985986455;4.666930393720455
1;4.6340000000018335;29608.49;34.375256;920.9025156880775;4.654620253164557;-0.07006329113924047;-0.33775;4.65514753428234;4.667384024101183
1;4.648000000001048;29608.504;35.513944;945.3044708597417;4.654620253164557;-0.06765822784810054;-0.31675;4.655111957511359;4.665875898420921
1;4.664000000000669;29608.52;36.67376;961.068845701145;4.653987341772153;-0.06829113924050681;-0.38325;4.654488356100399;4.670240081577626
1;4.677999999999884;29608.534;37.855816000000004;991.6371207258333;4.652784810126582;-0.06158227848101349;-0.31325;4.653192330687349;4.663724308840261
1;4.693999999999505;29608.55;39.052328;1005.9099106899879;4.653227848101267;-0.062341772151899594;-0.37975;4.653645442328002;4.669114045019695
1;4.707999999998719;29608.564;40.27441600000001;1022.7847536287973;4.654177215189874;-0.06265822784810005;-0.41125;4.654598973478771;4.672731338993248
1;4.724000000001979;29608.58;41.51540800000001;1044.7669772835375;4.653544303797469;-0.05702531645569686;-0.41125;4.653893689602583;4.672028792358064
1;4.738000000001193;29608.594;42.776416000000005;1055.4413348218602;4.654430379746833;-0.05670886075949462;-0.47775;4.654775832926746;4.679228901998585
1;4.754000000000815;29608.61;44.058552000000006;1089.0137096216906;4.652151898734179;-0.06044303797468433;-0.40425;4.65254453495457;4.670073737344587
