idxCompression;T;Tabs;B;F;dx;dy;dz;D2;D3
0;0.00018700000000393402;63.305224;15.0;140.8365511529346;4.316518987341771;-0.013670886075949884;2.92075;4.316540635880558;5.2118426322854505
0;0.0006430000000037239;63.30568;15.0;143.8200714478675;4.315759493670886;0.021455696202531557;2.89625;4.315812826584342;5.197547923454859
0;0.0013180000000048153;63.306355;15.0;139.27643165319304;4.311392405063291;0.08506329113924013;2.93475;4.312231468037965;5.216138207183248
0;0.0019290000000040664;63.306966;15.0;142.95881281666345;4.297911392405064;0.11860759493670855;2.9085;4.299547662085153;5.190903808446262
0;0.0025970000000015148;63.307634;15.0;136.3173408218161;4.283797468354431;0.18120253164556957;2.96625;4.2876281447152795;5.21367376902838
0;0.0032380000000031828;63.308275;15.0;132.73994919778193;4.2805063291139245;0.23518987341772202;2.99425;4.286962643893998;5.229109080201198
0;0.003910000000004743;63.308947;15.0;128.94962933040185;4.272151898734177;0.28670886075949376;3.0257500000000004;4.2817617655231635;5.242961651509196
0;0.004483000000000459;63.30952;15.0;121.05008842276068;4.273164556962025;0.32955696202531604;3.09225;4.285853838162918;5.284936440922995
0;0.005160000000003606;63.310197;15.0;130.33850491516867;4.274240506329113;0.38987341772151873;3.00125;4.291984760899136;5.237235411005544
0;0.006695000000007667;63.311732000000006;15.0;134.35552144035114;4.242025316455695;0.5337341772151912;2.95575;4.275470846278644;5.197702282728266
0;0.007365000000000066;63.312402;15.0;123.78901570767758;4.24012658227848;0.6015822784810123;3.0362500000000003;4.2825897155257575;5.249703680592552
0;0.008007999999996684;63.313044999999995;15.0;132.81815871917405;4.234493670886075;0.6712025316455708;2.9435;4.287359267341804;5.200542446443606
0;0.008749999999999147;63.313787;15.0;133.82325007591487;4.234177215189873;0.6946835443037974;2.9295;4.290785699188384;5.19546072705391
0;0.009298000000001139;63.314335;15.0;148.0613199452038;4.234556962025318;0.7194303797468365;2.80525;4.2952360512479135;5.130154022876874
0;0.009925000000002626;63.314962;15.0;144.10041416448303;4.245569620253163;0.7449367088607601;2.82625;4.310428296657409;5.154365253173749
0;0.010609999999999786;63.315647;15.0;145.63230275163284;4.243544303797468;0.7916455696202538;2.80175;4.316754679871363;5.146277686706316
0;0.011282000000001347;63.316319;15.0;139.6154892281527;4.244810126582279;0.8303797468354432;2.84025;4.325268030387245;5.17445297564776
0;0.012378999999995699;63.317415999999994;15.0;148.94029529183467;4.247025316455696;0.9147468354430381;2.7352499999999997;4.344420077705269;5.1337684379088095
0;0.013092000000000326;63.318129;15.0;157.9451567278907;4.231392405063291;0.9684177215189865;2.6512499999999997;4.340796536233797;5.086417317865231
0;0.013689000000006502;63.318726000000005;15.0;150.40155871605123;4.230632911392404;1.0190506329113922;2.69325;4.351634063589639;5.1176473682634365
0;0.014297000000006221;63.319334000000005;15.0;152.38427319949713;4.231962025316456;1.0525949367088607;2.6635;4.360901132163591;5.109959973865323
0;0.015019999999999811;63.320057;15.0;153.24495200547608;4.232721518987342;1.082151898734178;2.64425;4.3688653205646535;5.106764362268196
0;0.015684000000000253;63.320721;15.0;161.12135253792334;4.237278481012658;1.1011392405063287;2.5707500000000003;4.3780174226053274;5.076986519101247
0;0.016370000000001994;63.321407;15.0;163.47176667229894;4.247088607594937;1.1194303797468343;2.53925;4.3921391161782255;5.073329929973295
0;0.017048000000002617;63.322085;15.0;161.98118690155928;4.2563291139240516;1.1473417721518977;2.534;4.408257100959761;5.08467173651969
0;0.0177320000000023;63.322769;15.0;169.4698981578943;4.26;1.158037974683544;2.4675;4.414595332622137;5.057391442315807
0;0.01842600000000516;63.323463000000004;15.0;171.4688233333092;4.256518987341771;1.1696202531645563;2.44825;4.414291044574852;5.047761235311525
0;0.01910999999999774;63.324146999999996;15.0;186.31445877754157;4.269113924050632;1.1655063291139236;2.32925;4.425351816491837;5.000914342620518
0;0.019765000000006694;63.324802000000005;15.0;170.35816067265583;4.2788607594936705;1.1764556962025312;2.44125;4.4376454797856635;5.064819736847713
0;0.02041499999999985;63.325452;15.0;189.55916479656995;4.294367088607594;1.168164556962025;2.28725;4.450415387787791;5.003769547686859
0;0.021081999999999823;63.326119;15.0;177.67416585092664;4.305443037974684;1.1691772151898725;2.37125;4.4613691972043545;5.052389699564339
0;0.021687999999997487;63.326724999999996;15.0;182.43283704309218;4.308417721518987;1.1818987341772156;2.3257499999999998;4.467588597996526;5.036711322226892
0;0.02237699999999876;63.327414;15.0;208.7602630428634;4.330886075949366;1.1753164556962021;2.114;4.487531946836968;4.960538173815658
0;0.023083999999997218;63.328120999999996;15.0;225.90406026798766;4.346582278481011;1.1634177215189876;1.98275;4.499590903443291;4.917073912485922
0;0.023730999999997948;63.328768;15.0;215.5579691987969;4.357025316455696;1.1634177215189858;2.0492500000000002;4.509679634184704;4.953446877224009
0;0.024338000000000193;63.329375;15.0;228.98509839790972;4.3653164556962025;1.1737974683544299;1.93725;4.520374791440122;4.918000184789273
0;0.025005000000000166;63.330042;15.0;228.83729589725314;4.385126582278479;1.1936708860759484;1.9075000000000002;4.544687593979445;4.928766739953381
0;0.025570999999999344;63.330608;15.0;236.44550416319058;4.394556962025317;1.2077848101265822;1.83225;4.557507546900793;4.912027595866872
0;0.026260000000000616;63.331297;15.0;252.40937813866122;4.408670886075949;1.2123417721518988;1.694;4.572324524160343;4.876042201851631
0;0.026974000000002718;63.332011;15.0;240.79738205679882;4.415822784810126;1.206582278481012;1.778;4.577699385236288;4.910867098750758
