;idxAnalysis;T;B;F;dx;dy;dz;D2;D3
0;0;0.0;6.0048;118.267853483618;-4175.6329113924;1613.41772151899;740.735395304093;4476.49717466848;34.3688279300404
1;0;0.8;6.0048;119.057426581584;-4172.15189873418;1606.01265822785;742.566810668722;4470.58476314892;28.835565508306
2;0;1.4;6.0036;120.198359900338;-4164.30379746835;1600.69620253165;740.757814982647;4461.35119110887;19.4303854085401
3;0;2.0;6.0036;120.963584838908;-4154.87341772152;1605.82278481012;733.175150306826;4454.3955744303;11.3311502958741
4;0;3.09;6.0036;121.450500832501;-4153.60759493671;1606.58227848101;720.484625995665;4453.48882004268;8.39233125886039
5;0;3.2;6.0012;120.104690030579;-4165.37974683544;1615.75949367089;705.063977328722;4467.78101262075;20.0722290121685
6;0;3.801;6.0012;118.684095469229;-4169.87341772152;1630.9493670886;701.809228712546;4477.48145253861;29.1491978236299
7;0;4.4;6.0012;117.581725830785;-4156.77215189873;1664.43037974684;696.846577473802;4477.62026212865;28.5205355776534
8;0;5.0;6.0012;118.376531899004;-4143.16455696203;1673.16455696202;689.939444985294;4468.25381785103;18.2065445505677
9;0;5.601;6.0048;118.07571299711;-4139.11392405063;1687.21518987342;680.366726159225;4469.78290000861;18.2673063283974
10;0;6.2;6.0012;118.677472175496;-4151.01265822785;1673.92405063291;654.320467818733;4475.81588272519;20.3906630603587
11;0;6.8;6.0012;116.974881028532;-4177.40506329114;1679.36708860759;615.399792203611;4502.33127180895;41.1945144715182
12;0;7.4;6.0012;114.368042754932;-4188.16455696203;1714.93670886076;578.706447850906;4525.67456536494;59.5246765771381
13;0;8.0;6.0036;112.434694121904;-4197.6582278481;1740.6329113924;549.861670859659;4544.24223936657;74.3884898622964
14;0;8.6;6.0;111.635692561569;-4199.62025316456;1755.3164556962;526.647355792775;4551.697060485;79.0632435390207
15;0;9.2;6.0048;111.87820665028;-4200.56962025316;1759.36708860759;503.259954169595;4554.13632723806;78.8586041627414
16;0;9.801;6.0048;111.907972011286;-4212.3417721519;1748.03797468354;492.997346962893;4560.642494907;84.2111735196995
17;0;10.4;6.0036;111.579441546326;-4217.91139240506;1748.86075949367;481.366497892878;4566.10232805587;88.4054684345683
18;0;11.0;6.0036;112.064814252135;-4215.3164556962;1748.16455696202;470.280854143959;4563.43863110718;84.6068076564488
19;0;11.601;6.0036;113.360313217172;-4214.6835443038;1736.13924050633;450.505618988597;4558.260286672;77.46855177409
20;0;12.2;6.0036;114.519730877465;-4213.60759493671;1720.94936708861;452.270535162144;4551.50037769866;70.9156447366686
21;0;12.8;6.0036;114.949560569361;-4237.6582278481;1682.40506329114;462.65894597019;4559.41159065908;79.8252588684472
22;0;13.401;6.0048;116.715718395674;-4246.70886075949;1643.35443037975;472.622621193637;4553.58649109709;75.047845312004
23;0;14.001;6.0036;117.976791283503;-4249.87341772152;1623.41772151899;463.337332533666;4549.38558106453;69.9192698884708
24;0;14.601;6.0048;118.699467719836;-4256.96202531645;1607.40506329114;451.48805294355;4550.32710060281;69.6707933582011
25;0;15.201;6.0048;120.026474785457;-4263.73417721519;1582.53164556962;439.221735549029;4547.94849829923;66.1083677410061
26;0;15.801;6.0012;119.801244039868;-4269.6835443038;1577.46835443038;434.406040929538;4551.76932387044;69.451485376745
27;0;16.401;6.0012;121.675646277746;-4261.96202531646;1560.69620253164;436.449428219096;4538.73252591913;56.6689622415615
28;0;17.001;6.0036;123.157863098832;-4248.92405063291;1556.70886075949;444.179337790403;4525.11856918843;43.8663219115888
29;0;17.601;6.0012;122.866819320509;-4254.87341772152;1549.62025316456;450.705386422373;4528.27458640164;47.6489729709001
30;0;18.201;6.0048;123.689713404748;-4242.84810126582;1556.96202531645;448.604825171026;4519.50116259444;38.7108062776551
31;0;18.801;6.0012;122.748467909825;-4240.56962025316;1573.10126582279;444.475730744219;4522.95017623976;41.7372830525555
32;0;19.4;6.0048;124.354699393046;-4233.60759493671;1562.53164556962;441.920620259548;4512.75286397475;31.3392292508133
