;ExpType;ExpDay;CellID;CellName;CompNum;TpsComp;MaxIndent;MinThickness;Hysteresis;CompTime;InitialThickness;SurroundingThickness;PreviousThickness;H0Chadwick;EChadwick;CiEChadwick;R2Chadwick;FitParams;Validated;Comments;manipID;date;manip;experimentType;drug;substrate;objective magnification;scale pixel per um;objective immersion;optical index correction;magnetic field correction;cell type;cell subtype;bead type;bead diameter;normal field;ramp field;compression duration;with fluo images;bacteria;comments;cellID;meanFluoPeakAmplitude
11;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;5;1s;34.8642693945412;114.15420694152;0.319247845299803;77.7575135135135;149.018476336061;130.46034966780198;130.46034966780198;174.189817322118;23069.260678075;3390.66411709572;0.988112074428023;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
12;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;6;1s;19.3269407360825;138.589443906552;0.39713678418378295;92.1588918918919;157.916384642635;145.475266487246;145.475266487246;173.871457695566;65380.1621973304;25445.0324546187;0.925291441962812;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
13;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;7;1s;27.1953783119172;136.858937439957;0.9302375762728292;106.53702631578899;164.05431575187401;155.70385399248698;155.70385399248698;180.18093756069698;43656.4635851032;13738.5628399097;0.95626421911636;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
14;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;8;1s;30.7597345609437;150.727766540507;0.41671511509922293;120.9;181.487501101451;160.944057072401;160.944057072401;211.74352349833802;24135.996532009704;6358.016140236579;0.9632169793555191;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
15;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;9;1s;36.895402776949894;121.767249477647;0.687445330546916;5.588026315789469;158.662652254597;131.297991432329;;171.740996007489;28523.4130660073;6352.69974953761;0.9781232566181;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
16;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C7;20-08-04_M1_P1_C7;1;1s;113.48960291821999;169.276372364937;0.548136092848349;20.259486486486498;282.765975283157;153.764805494669;153.764805494669;352.953765366484;4541.5494171562295;284.217789494745;0.9974918668735071;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
17;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C7;20-08-04_M1_P1_C7;2;1s;103.369900781644;133.00947159319202;0.496820919235381;34.4683684210526;236.379372374837;223.177145896628;223.177145896628;276.11663867454496;5939.411861567329;610.189509760365;0.9938185239049458;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
18;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C7;20-08-04_M1_P1_C7;3;1s;115.028418328965;191.998721908042;0.5732052289593741;48.688;307.027140237006;201.069914359207;201.069914359207;392.440620682334;4126.131803743529;390.18285245326103;0.994391564170109;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
19;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C7;20-08-04_M1_P1_C7;4;1s;130.69945905761298;233.66991887394698;0.737448447974616;63.0385135135135;364.36937793156096;285.913087494663;285.913087494663;449.91590718362295;3916.32786938906;368.239480874455;0.9945558057871109;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
20;3T3aSFL_BSA_nodrugs;20-08-04;M1_P1_C7;20-08-04_M1_P1_C7;5;1s;135.951070357927;174.796613456585;0.621814888566499;77.4278918918919;310.74768381451196;276.044927046497;276.044927046497;382.955432725977;3833.12774270116;323.47951661221697;0.9952818687374281;Strain100-R20.9;1;Succes!;20-08-04_M1;20-08-04;M1;compressions and constant field;none;BSA coated glass;100X;15.8;oil;0.875;1.15;3T3;aSFL;M450;4503;10;['3', '40'];1s;False;;;;
