;date;cellName;cellID;manipID;compNum;compDuration;compStartTime;initialThickness;minThickness;maxIndent;previousThickness;surroundingThickness;validatedThickness;ctFieldThickness;ctFieldFluctuAmpli;H0Chadwick;EChadwick;R2Chadwick;EChadwick_CIWidth;hysteresis;critFit;validatedFit;comments
0;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;1;1s;5.0360000000000005;79.62368549881649;52.92471107309029;26.698974425726192;47.468574602415174;56.70565321875938;True;49.05063664636009;76.99187568045691;81.52349664726432;49666.3320138762;0.46929467082118576;67202.10588422458;-14.118030463700052;R2 > 0.9;False;R2 < 0.9
1;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;2;1s;20.249000000000002;56.73070811904017;10.17879976632048;46.55190835271969;58.368101589624985;35.416035502760224;True;49.05063664636009;76.99187568045691;69.15131935453635;7835.426036073392;0.8211378549952273;3517.7745977171744;-13.10938300684029;R2 > 0.9;False;R2 < 0.9
2;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;3;1s;34.662;46.99943628382971;15.16512306425011;31.8343132195796;20.159815192304904;24.220730596939575;True;49.05063664636009;76.99187568045691;56.09903935537926;16368.744931955458;0.7896246734356734;8702.16350836007;-10.464551818000473;R2 > 0.9;False;R2 < 0.9
3;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;4;1s;49.076;88.04932040308965;51.95105745419005;36.0982629488996;47.25430233459474;60.11456480173547;True;49.05063664636009;76.99187568045691;101.31384121523921;16640.171782442663;0.8748395481077953;7432.139271904134;-10.758911027201066;R2 > 0.9;False;R2 < 0.9
4;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;5;1s;63.486999999999995;54.20367751893324;19.679992161570226;34.523685357363014;56.18957395425059;30.115780409660147;True;49.05063664636009;76.99187568045691;66.96835827902422;13513.668871003494;0.9198243771690355;4176.032701397005;17.038991228289888;R2 > 0.9;True;ok
5;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;6;1s;77.896;145.93121338818978;70.39174381937028;75.5394695688195;53.41465734856547;68.75036948102479;True;49.05063664636009;76.99187568045691;175.66393990769654;6585.285806266551;0.9792448742735421;1047.491207383;8.896213407568212;R2 > 0.9;True;ok
6;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;7;1s;92.314;143.61014772905006;53.25504386574903;90.35510386330103;52.65055561554527;94.48237424710987;True;49.05063664636009;76.99187568045691;181.76120454214364;4342.729853455982;0.9478727785680691;1078.2233474273762;-14.628912579429198;R2 > 0.9;True;ok
7;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;20-08-04_M1;1;1s;5.031000000000001;159.63175808174037;121.7672494776507;37.86450860408968;145.58076420094994;137.22109295771043;True;131.71747701380536;51.51202916340134;173.3459930884448;26847.070871908534;0.9808148107368567;4292.282930703026;8.8452574637804;R2 > 0.9;True;ok
8;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;20-08-04_M1;2;1s;19.835;129.99857568915345;99.35305917538972;30.645516513763738;114.96568247441519;106.96358789755504;True;131.71747701380536;51.51202916340134;147.92286070165966;28190.336375842322;0.963097142356351;7031.906292055908;8.842107959789246;R2 > 0.9;True;ok
9;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;20-08-04_M1;3;1s;34.056;138.1101591064571;97.0224734036201;41.08768570283701;109.74776138970537;120.38752729926;True;131.71747701380536;51.51202916340134;157.8076712169492;22151.38456584195;0.9777318293224158;4039.2936940673026;-4.293886131678846;R2 > 0.9;True;ok
10;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;20-08-04_M1;4;1s;48.419;131.90540390587344;93.83942934103015;38.06597456484329;121.50922082497982;125.27579294310999;True;131.71747701380536;51.51202916340134;145.25431392325618;34464.38027830605;0.9701361949776924;7012.157356382235;1.5199540587400406;R2 > 0.9;True;ok
11;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;20-08-04_M1;5;1s;62.805;138.22285100400345;107.77248963117017;30.45036137283327;127.85370430357443;129.05897176889994;True;131.71747701380536;51.51202916340134;153.8332339861916;35981.534713053494;0.9397475635358895;11023.282246501534;-1.851815117899605;R2 > 0.9;True;ok
12;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;20-08-04_M1;6;1s;77.19;151.68718150127037;114.15420694151908;37.532974559751295;131.03220156419957;141.08019899858482;True;131.71747701380536;51.51202916340134;171.29736315432052;26070.21253000756;0.9732612278912962;5241.537775789242;-1.8401043226504044;R2 > 0.9;True;ok
13;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;20-08-04_M1;7;1s;91.59100000000001;159.58520238993;138.5894439065496;20.9957584833804;150.09953798790457;154.62714915677952;True;131.71747701380536;51.51202916340134;168.2200931263641;105376.97692939723;0.8887254395347035;45363.16702154247;-3.0402152138603924;R2 > 0.9;False;R2 < 0.9
14;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;20-08-04_M1;8;1s;105.98100000000001;165.50610965847986;136.85893743996076;28.647172218519103;157.91561972206546;158.36117739777;True;131.71747701380536;51.51202916340134;180.29726585230173;44112.781679410604;0.9415874647820344;14305.332322422662;2.1418652479296725;R2 > 0.9;True;ok
