;date;cellName;cellID;manipID;duration;medianRawB;medianThickness;1stDThickness;9thDThickness;fluctuAmpli;R2_polyFit;validated
0;21-02-10;M1_P1_C1;21-02-10_M1_P1_C1;21-02-10_M1;393.5499999999993;6.0036;219.07057798869755;158.97447715340513;326.3758953009756;167.40141814757044;0.351781773881626;True
1;21-02-10;M1_P1_C2;21-02-10_M1_P1_C2;21-02-10_M1;192.8139999999985;6.0036;26.237280976814876;-58.33635808351028;139.81557786384292;198.1519359473532;0.6116812608867731;False
2;21-02-10;M1_P1_C3;21-02-10_M1_P1_C3;21-02-10_M1;327.9969999999994;6.0036;271.1229904593338;185.7733463204686;350.81614302764865;165.04279670718006;0.6755815203289567;True
3;21-02-10;M1_P1_C4;21-02-10_M1_P1_C4;21-02-10_M1;326.9290000000001;6.0036;215.60554038491048;187.64070965073643;266.8776699398595;79.23696028912309;0.2985640590183359;True
4;21-02-10;M1_P1_C5;21-02-10_M1_P1_C5;21-02-10_M1;260.26000000000204;6.0036;243.874477898572;131.93173195732925;322.3349978150054;190.40326585767616;0.7136322608198953;True
5;21-02-10;M1_P1_C6;21-02-10_M1_P1_C6;21-02-10_M1;668.8919999999998;6.0036;340.12137421595617;193.75215078991727;639.4690414172828;445.7168906273655;0.6836502017478713;True
6;21-02-10;M1_P1_C7;21-02-10_M1_P1_C7;21-02-10_M1;669.5040000000008;6.0036;136.832865708202;94.23202740146826;193.8171043378734;99.58507693640512;0.7722453019340177;True
7;21-02-10;M1_P1_C8;21-02-10_M1_P1_C8;21-02-10_M1;670.2020000000011;6.0036;175.132146475019;149.62642775074437;199.72634061981623;50.099912869071886;0.0738522698542911;True
8;21-02-10;M2_P1_C2;21-02-10_M2_P1_C2;21-02-10_M2;661.1310000000012;6.0036;192.3446505234488;154.90270306924504;240.62196484356173;85.71926177431669;0.5471319802079455;True
9;21-02-10;M2_P1_C3;21-02-10_M2_P1_C3;21-02-10_M2;327.17299999999886;6.0036;269.6004885281627;199.33275978796337;935.11541343508;735.7826536471166;0.9424018910769169;True
10;21-02-10;M2_P1_C4;21-02-10_M2_P1_C4;21-02-10_M2;661.5779999999977;6.0036;118.35212883964778;96.72535163425071;157.92665870030305;61.20130706605232;0.8895164399475303;True
11;21-02-10;M2_P1_C5;21-02-10_M2_P1_C5;21-02-10_M2;665.6810000000005;6.0036;145.97509501313198;95.01435342715558;437.7956301438862;342.78127671673064;0.8646169475969507;True
12;21-02-10;M2_P1_C6;21-02-10_M2_P1_C6;21-02-10_M2;330.36899999999514;6.0036;117.18834149514625;91.97559919066408;184.64034618233745;92.66474699167338;0.5244892973463874;True
13;21-04-21;M1_P1_C1;21-04-21_M1_P1_C1;21-04-21_M1;661.7989999999991;5.75345;100.09909806451104;74.94809312548114;136.0356266064082;61.08753348092705;0.5233744810055208;True
14;21-04-21;M1_P1_C2;21-04-21_M1_P1_C2;21-04-21_M1;661.2880000000005;5.75345;115.79203563890133;73.54478406530143;170.12561085066957;96.58082678536812;0.8391518713746028;True
15;21-04-21;M1_P1_C3;21-04-21_M1_P1_C3;21-04-21_M1;661.2389999999996;5.75345;124.46255936683885;73.42245973762238;165.22356803210914;91.80110829448677;0.5629226721603587;True
16;21-04-21;M1_P1_C4;21-04-21_M1_P1_C4;21-04-21_M1;669.2620000000006;5.75345;211.98183785242875;162.5726901333419;288.2086251813362;125.63593504799428;0.62215012597607;True
17;21-04-21;M1_P1_C5;21-04-21_M1_P1_C5;21-04-21_M1;670.0949999999993;5.75345;265.10377971779144;199.680943172948;349.7190660943106;150.03812292136263;0.5609247624988436;True
18;21-04-21;M2_P1_C1;21-04-21_M2_P1_C1;21-04-21_M2;661.2640000000029;5.75345;192.54567225864776;175.629492051522;230.28467519377773;54.65518314225574;0.6224899616368468;True
19;21-04-21;M2_P1_C3;21-04-21_M2_P1_C3;21-04-21_M2;661.1889999999985;5.75345;104.32982099880884;68.43773014305953;139.61889758389862;71.18116744083909;0.5054324486599752;True
20;21-04-21;M2_P1_C6;21-04-21_M2_P1_C6;21-04-21_M2;330.89400000000023;5.75345;226.0573248186838;89.99374496083783;393.60548934350754;303.6117443826697;0.3146224069791422;True
21;21-04-21;M2_P1_C8;21-04-21_M2_P1_C8;21-04-21_M2;669.456000000002;5.75345;319.54783279139065;254.04230430614464;584.8734182414919;330.8311139353473;0.9194425632685596;True
