;date;cellName;cellID;manipID;compNum;compDuration;compStartTime;compAbsStartTime;compStartTimeThisDay;initialThickness;minThickness;maxIndent;previousThickness;surroundingThickness;surroundingDx;surroundingDz;validatedThickness;jumpD3;minForce;maxForce;minStress;maxStress;minStrain;maxStrain;ctFieldThickness;ctFieldFluctuAmpli;ctFieldDX;ctFieldDZ;bestH0;H0Chadwick;EChadwick;R2Chadwick;EChadwick_CIWidth;hysteresis;critFit;validatedFit;comments;KChadwick_25<s<225;K_CI_25<s<225;R2Chadwick_25<s<225;K2Chadwick_25<s<225;H0Chadwick_25<s<225;Npts_25<s<225;validatedFit_25<s<225;KChadwick_75<s<275;K_CI_75<s<275;R2Chadwick_75<s<275;K2Chadwick_75<s<275;H0Chadwick_75<s<275;Npts_75<s<275;validatedFit_75<s<275;KChadwick_125<s<325;K_CI_125<s<325;R2Chadwick_125<s<325;K2Chadwick_125<s<325;H0Chadwick_125<s<325;Npts_125<s<325;validatedFit_125<s<325;KChadwick_175<s<375;K_CI_175<s<375;R2Chadwick_175<s<375;K2Chadwick_175<s<375;H0Chadwick_175<s<375;Npts_175<s<375;validatedFit_175<s<375;KChadwick_225<s<425;K_CI_225<s<425;R2Chadwick_225<s<425;K2Chadwick_225<s<425;H0Chadwick_225<s<425;Npts_225<s<425;validatedFit_225<s<425;KChadwick_275<s<475;K_CI_275<s<475;R2Chadwick_275<s<475;K2Chadwick_275<s<475;H0Chadwick_275<s<475;Npts_275<s<475;validatedFit_275<s<475;KChadwick_325<s<525;K_CI_325<s<525;R2Chadwick_325<s<525;K2Chadwick_325<s<525;H0Chadwick_325<s<525;Npts_325<s<525;validatedFit_325<s<525;KChadwick_375<s<575;K_CI_375<s<575;R2Chadwick_375<s<575;K2Chadwick_375<s<575;H0Chadwick_375<s<575;Npts_375<s<575;validatedFit_375<s<575;KChadwick_425<s<625;K_CI_425<s<625;R2Chadwick_425<s<625;K2Chadwick_425<s<625;H0Chadwick_425<s<625;Npts_425<s<625;validatedFit_425<s<625;KChadwick_475<s<675;K_CI_475<s<675;R2Chadwick_475<s<675;K2Chadwick_475<s<675;H0Chadwick_475<s<675;Npts_475<s<675;validatedFit_475<s<675;KChadwick_525<s<725;K_CI_525<s<725;R2Chadwick_525<s<725;K2Chadwick_525<s<725;H0Chadwick_525<s<725;Npts_525<s<725;validatedFit_525<s<725;KChadwick_575<s<775;K_CI_575<s<775;R2Chadwick_575<s<775;K2Chadwick_575<s<775;H0Chadwick_575<s<775;Npts_575<s<775;validatedFit_575<s<775;KChadwick_625<s<825;K_CI_625<s<825;R2Chadwick_625<s<825;K2Chadwick_625<s<825;H0Chadwick_625<s<825;Npts_625<s<825;validatedFit_625<s<825;KChadwick_675<s<875;K_CI_675<s<875;R2Chadwick_675<s<875;K2Chadwick_675<s<875;H0Chadwick_675<s<875;Npts_675<s<875;validatedFit_675<s<875;KChadwick_725<s<925;K_CI_725<s<925;R2Chadwick_725<s<925;K2Chadwick_725<s<925;H0Chadwick_725<s<925;Npts_725<s<925;validatedFit_725<s<925;KChadwick_775<s<975;K_CI_775<s<975;R2Chadwick_775<s<975;K2Chadwick_775<s<975;H0Chadwick_775<s<975;Npts_775<s<975;validatedFit_775<s<975;KChadwick_825<s<1025;K_CI_825<s<1025;R2Chadwick_825<s<1025;K2Chadwick_825<s<1025;H0Chadwick_825<s<1025;Npts_825<s<1025;validatedFit_825<s<1025;KChadwick_875<s<1075;K_CI_875<s<1075;R2Chadwick_875<s<1075;K2Chadwick_875<s<1075;H0Chadwick_875<s<1075;Npts_875<s<1075;validatedFit_875<s<1075
0;21-01-18;M1-1_P1_C1;21-01-18_M1-1_P1_C1;21-01-18_M1-1;1;1s;3.779999999998836;16720.515;0.0;136.8919711034399;27.821243023849092;109.0707280795908;119.03353924119347;114.9698712907857;90.03797468354378;170.625;True;0.0;113.78203050922518;1308.9451690870835;263.54439531287875;1071.2757316995935;0.10098653273394133;0.2870948511321077;101.06330603879269;28.14897152243448;78.32911392405003;136.5;200.56341024036786;177.89873231009443;4030.1641243089584;0.989016309667428;338.06393888116463;23.879708358569587;R2 > 0.6;True;ok;;[nan, nan];;;;0.0;False;;[nan, nan];;;;2.0;False;2035.0297942516052;[1180.9739431125467, 2889.0856453906636];0.8499785161400227;1991.629269616278;210.79413587881243;8.0;True;2597.6828904885265;[1892.4342307355282, 3302.9315502415247];0.8852447442092362;2452.2403745540146;201.35607274044492;11.0;True;2550.9979774254753;[2218.5344592424594, 2883.461495608491];0.9548268897193712;2494.3735565495226;200.56341024036786;15.0;True;2883.0931228305044;[2459.257663467053, 3306.9285821939557];0.9432221714924587;2746.4917581938507;195.9358627767548;15.0;True;3886.656638954893;[3012.2943570117122, 4761.018920898074];0.9074901670249677;3513.584130469916;183.1290280201891;12.0;True;4752.6707008194;[3906.5583188810624, 5598.783082757737];0.9399905220544053;4296.405475152319;172.2721774994124;12.0;True;3865.7359243359474;[2996.60004471176, 4734.8718039601345];0.9183569163317109;3497.9248446867646;184.1642049931348;11.0;True;3666.5416347353457;[3037.396988147563, 4295.686281323128];0.9440137018201633;3376.9643678202196;186.91813460703642;12.0;True;4044.228482533862;[3257.559439938394, 4830.89752512933];0.9291842305314515;3626.647104590392;181.7389081776776;12.0;True;4515.5245361270845;[3736.5077251389625, 5294.541347115206];0.9434403113117702;3979.1120379737154;173.96318700732837;12.0;True;4401.468510431082;[3624.805710133301, 5178.131310728862];0.9409842759672278;3884.4550407402885;176.08666114226352;12.0;True;5390.566099843465;[4036.0620011771352, 6745.070198509795];0.8871724049159004;4478.934814573784;164.35501885996095;12.0;True;6121.29870110634;[4878.745908859944, 7363.851493352735];0.9233642974175663;5031.417547669437;154.2709029197642;12.0;True;7425.211706915492;[5951.915490281447, 8898.507923549538];0.9265256742198226;5935.785522598901;141.1072697674287;12.0;True;7140.354124172624;[5760.429244346795, 8520.279003998454];0.921823265948855;5684.434440995273;144.97791285983368;13.0;True;11378.688158837065;[6901.314160260581, 15856.06215741355];0.7398763513280577;8172.553169804194;118.15659692253116;13.0;True
1;21-01-18;M1-1_P1_C1;21-01-18_M1-1_P1_C1;21-01-18_M1-1;2;1s;15.346999999997934;16732.082;11.566999999999098;167.83169809760207;49.69275512355398;118.13894297404809;114.21330945071577;116.46370802677393;91.01898734177394;152.25;True;0.0;108.95664507754884;1264.6418066486235;315.05142721417917;1078.4430482882394;0.0744652452003698;0.2576506967981188;101.06330603879269;28.14897152243448;78.32911392405003;136.5;218.86462293295128;214.36855124857243;4106.672162501463;0.9880013579756632;376.63278174583365;33.00566480429188;R2 > 0.6;True;ok;;[nan, nan];;;;0.0;False;;[nan, nan];;;;0.0;False;;[nan, nan];;;;1.0;False;2491.3373570687245;[1010.6438236682361, 3972.030890469213];0.7890893289012434;2530.416145050381;235.25172259863226;7.0;True;3029.410460785264;[1980.4043684793105, 4078.416553091218];0.825845218760729;2930.0146973739193;229.37354264310517;11.0;True;3640.8514697365263;[2628.5017652468687, 4653.201174226184];0.8506618971401643;3431.5473040420015;223.3221864270573;13.0;True;4090.168247166476;[3167.159342591568, 5013.177151741384];0.8757748483271285;3830.066965691227;219.03010100000353;15.0;True;3800.700867417021;[2753.885735702326, 4847.515999131716];0.8390963771330361;3535.3203713353323;222.69859494092952;14.0;True;2964.7493560260123;[2339.7885201071176, 3589.710191944907];0.8990189499371366;3039.3589174906206;233.19589438808978;14.0;True;2701.7557711234194;[2210.8046885356375, 3192.7068537112013];0.9086820929266828;2870.511032657608;237.75906439526273;16.0;True;2315.87013987501;[1863.1563739959715, 2768.5839057540484];0.9037992270474768;2606.3158333282095;246.4470861351764;15.0;True;3113.299562478089;[1624.7273979288866, 4601.871727027291];0.6847050503201658;2829.8411286659707;240.1949715294639;12.0;True;8483.524419182237;[778.1848928236559, 16188.863945540817];0.4080186795333271;5380.437488399015;187.0453960320361;11.0;False;22952.89046974212;[299.58237163343074, 45606.198567850806];0.4056123921933608;20714.503307064457;126.54842004229268;10.0;False;6446.612054377661;[3160.7260601065027, 9732.498048648818];0.6564660923601865;4963.06983075711;195.964579813599;12.0;True;5054.136435669722;[3555.621349941314, 6552.651521398131];0.8181879036159023;4395.789097207169;207.6595880572237;14.0;True;5374.504141300614;[3280.135235029022, 7468.873047572206];0.743595910032773;4460.461605214461;206.95793137496216;13.0;True;6783.58256333886;[4203.265404313784, 9363.899722363938];0.7322052104020397;5359.234133214144;188.8790836987991;14.0;True
2;21-01-18;M1-1_P1_C1;21-01-18_M1-1_P1_C1;21-01-18_M1-1;3;1s;26.592000000000557;16743.327;22.812000000001717;110.66841342245243;11.803059049560034;98.8653543728924;113.75644074614047;112.244731574061;87.25316455696247;115.5;True;0.0;108.86040902342332;1326.6876820041452;286.0770306237148;1233.4187497630655;0.1079545209289288;0.309648503660889;101.06330603879269;28.14897152243448;78.32911392405003;136.5;166.11278488936537;149.06715047701826;4139.412487524289;0.972900618544566;529.1455650488606;14.234315576332847;R2 > 0.6;True;ok;;[nan, nan];;;;0.0;False;;[nan, nan];;;;0.0;False;;[nan, nan];;;;4.0;False;8355.727044045656;[-8147.089692210546, 24858.543780301858];0.3306782037427592;5383.198740585572;147.74638584481494;6.0;False;5434.996562724858;[1894.659680896541, 8975.333444553176];0.6103693049517203;4285.386090180941;153.48995478413843;10.0;True;3428.8052429613927;[2138.2552135125006, 4719.355272410285];0.7170540248472533;2891.8489362360024;166.11278488936537;15.0;True;2922.1755768724615;[1401.6570912601644, 4442.694062484758];0.6470968348185663;2454.341728199475;175.30565340903064;12.0;True;2601.596708160483;[1849.6503306116956, 3353.5430857092706];0.8112326635329594;2485.9181196187906;175.40430987224877;15.0;True;2556.0495712490974;[1615.4351744377705, 3496.6639680604244];0.7648191729249546;2405.413487475363;177.6669210487163;13.0;True;1957.743568699031;[1357.0312607371961, 2558.4558766608657];0.857939008531957;2138.384779927938;189.0101074096942;11.0;True;2923.441310998158;[1790.7332588030658, 4056.14936319325];0.7678210921072605;2633.742111078365;171.6300022276147;12.0;True;7230.269466708192;[1014.733354694893, 13445.80557872149];0.5194343842919431;4941.2895015151225;127.66430393014086;9.0;False;10074.304239547651;[283.23525186645384, 19865.373227228847];0.3757675798419886;6159.9922075544655;116.39443841053664;11.0;False;7122.409635525522;[-801.1767974803806, 15045.996068531425];0.3922491502195898;4262.705473650189;139.94612590337107;9.0;False;8019.99465136797;[-375.47918649890926, 16415.46848923485];0.37755966644730066;4686.2919788039435;135.0981640523115;10.0;False;8827.10878660202;[-1338.9685523271874, 18993.18612553123];0.3338402665272869;4899.625171568598;132.79822706029807;10.0;False;15388.420605567995;[-7583.4994972734985, 38360.34070840949];0.30929421592479417;8801.28532303053;97.91079523015152;8.0;False;5771.227760504148;[1729.540610358033, 9812.914910650263];0.5754288720763613;4136.308572831667;151.0084665804341;10.0;False
3;21-01-18;M1-1_P1_C1;21-01-18_M1-1_P1_C1;21-01-18_M1-1;4;1s;37.83799999999974;16754.573;34.0580000000009;111.47464220970294;20.871308701151975;90.60333350855096;108.38321032668591;103.95455898096452;77.94936708860723;138.25;True;0.0;108.66095496678156;1316.3022119566128;335.8722516310771;1356.0881715708667;0.09522133211806558;0.2895623533423918;101.06330603879269;28.14897152243448;78.32911392405003;136.5;158.94327478671426;143.38828666539413;5094.6426000666315;0.9713508953626695;693.882235655743;13.79810835610715;R2 > 0.6;True;ok;;[nan, nan];;;;0.0;False;;[nan, nan];;;;0.0;False;;[nan, nan];;;;0.0;False;;[nan, nan];;;;3.0;False;4200.8990483202115;[298.52658786503343, 8103.2715087753895];0.6049789197051901;3284.4600306723955;160.78599998387227;7.0;True;3461.3085718818393;[1722.9773815578233, 5199.639762205856];0.7249267544263083;3008.2397366140262;163.7351825919977;10.0;True;3866.4423255473994;[2775.6912998913403, 4957.193351203458];0.8325195920220919;3519.932597539342;158.7848883897514;14.0;True;2836.7623984626184;[2036.094626825677, 3637.4301700995597];0.8184013065873913;2735.072275184075;168.96225741128546;15.0;True;2762.943592240665;[1383.229964927292, 4142.657219554038];0.6384761262873543;2449.6040338708417;176.3804634730114;13.0;True;2408.562194019017;[1237.3319705274969, 3579.7924175105372];0.6773672276117775;2336.8674590658866;181.23392450150456;12.0;True;4447.597100238219;[540.1499856800506, 8355.044214796388];0.4241824147645307;2971.546337752581;165.73642784764246;11.0;False;3688.716081126383;[425.46441041082016, 6951.967751841946];0.5051090286352786;2816.247698788428;171.917789272479;9.0;False;6606.212485115447;[116.78686743815342, 13095.63810279274];0.45289044263745254;4318.816849430984;143.39033952903355;9.0;False;6604.765790372187;[-4809.452770833769, 18018.984351578143];0.3067601003018522;3647.0577019270927;155.26047358386802;7.0;False;46096147212.695244;[46096147212.695244, 46096147212.695244];1.7073012139156856e-13;259136144104120.0;54.078970109193016;6.0;False;21168.29457939347;[-28198.181852359645, 70534.77101114659];0.19549268941611103;11694.199746812248;102.40853815490297;7.0;False;7282.885800695226;[-1747.789654096544, 16313.561255486995];0.5562233357432812;5178.238244969257;142.75852964139168;6.0;False;8543.867702918542;[2779.138019869515, 14308.597385967569];0.6867148154769086;6520.857012025429;129.12492508211616;8.0;True
4;21-01-18;M1-1_P1_C1;21-01-18_M1-1_P1_C1;21-01-18_M1-1;5;1s;49.08599999999933;16765.821;45.306000000000495;113.15529344956758;21.34951210680356;91.80578134276402;102.0661798693518;100.09631522445079;75.32278481012645;133.875;True;0.0;115.71604762651027;1311.1543282473606;325.9842710418107;1325.36583303269;0.09874246540894868;0.29059242126020585;101.06330603879269;28.14897152243448;78.32911392405003;136.5;166.5033264480929;149.96474104305864;4777.813331265239;0.9908732395606783;364.2975047718501;20.504417886857482;R2 > 0.6;True;ok;;[nan, nan];;;;0.0;False;;[nan, nan];;;;0.0;False;;[nan, nan];;;;0.0;False;;[nan, nan];;;;5.0;False;4938.31764285054;[484.99783462304003, 9391.63745107804];0.5509831806672233;3659.217463478616;161.9331580460534;8.0;False;3109.1379473020834;[2116.8209582458308, 4101.4549363583355];0.829751134619141;2885.8537711272406;169.7895258555635;12.0;True;2920.2045774733406;[2286.9581358347277, 3553.4510191119534];0.8937614815837684;2832.5860689488823;170.49851889856595;14.0;True;3636.180921760783;[2447.5338235355707, 4824.828019985995];0.8228802505369004;3270.498266164557;164.92203414645684;12.0;True;4684.434448870634;[3372.594369859882, 5996.274527881385];0.8787921814597573;4192.547068020703;153.1903976346584;11.0;True;5330.975160668386;[3059.7541473223564, 7602.196174014415];0.8148384751352554;4594.5021961118555;148.97340480893294;9.0;True;4694.112924928611;[3241.4077564808867, 6146.818093376336];0.8740612286164261;4179.855146282507;154.43525261166906;10.0;True;5844.403307692587;[4428.399128682466, 7260.407486702708];0.93154188757395;5193.302962851705;143.24273269879083;9.0;True;5463.840724100808;[4179.776253720195, 6747.905194481421];0.9232845150854216;4851.9336278001565;146.81624358553177;10.0;True;4450.831978047874;[3521.1097745224424, 5380.554181573306];0.9287294419244393;4101.5721406664325;157.49100478339213;11.0;True;4083.8072649696533;[3311.124070944236, 4856.49045899507];0.948895338110885;3883.9118933113236;162.21652553978134;10.0;True;5739.347570817665;[4066.140417017741, 7412.554724617588];0.8699616598644991;4887.101090313773;145.5742849315304;11.0;True;6818.139912027141;[4660.280807622834, 8975.999016431448];0.8690439090276586;5635.395459787902;135.24733818294465;10.0;True;5923.243223009104;[3510.5642205801037, 8335.922225438106];0.8002541096065177;4865.481189966798;146.40094204511593;10.0;True
5;21-01-18;M1-1_P1_C1;21-01-18_M1-1_P1_C1;21-01-18_M1-1;6;1s;60.33399999999892;16777.069;56.55400000000009;113.75195036261387;20.75561637257124;92.99633399004263;98.86281987574603;95.84592605879698;73.13924050632886;119.0;True;0.0;108.74648912579882;1317.7347536301288;340.3666083081751;1341.8451410866799;0.0923311100996807;0.29047506515224975;101.06330603879269;28.14897152243448;78.32911392405003;136.5;161.4283330727473;150.31795004650616;4738.526337276008;0.988264022134193;407.5066308096393;16.629456502931134;R2 > 0.6;True;ok;;[nan, nan];;;;0.0;False;;[nan, nan];;;;0.0;False;;[nan, nan];;;;0.0;False;;[nan, nan];;;;4.0;False;3921.805441549085;[169.40330687196092, 7674.207576226209];0.5907673536602349;3056.349417048997;165.85588335539154;7.0;False;4266.566836717914;[1647.2286214955743, 6885.9050519402535];0.6013729030870287;3332.6233076171516;163.9667480240462;11.0;True;4029.043709916555;[2458.8071817212344, 5599.280238111876];0.7435534506815152;3496.2492640955456;162.41951824502152;13.0;True;3591.744052894001;[1997.3624404911448, 5186.125665296857];0.7426364754455939;3208.858987881575;166.54139281128562;11.0;True;3355.4305520353964;[2179.988594802783, 4530.87250926801];0.8441534909678743;3230.2492469437125;167.36571816648026;10.0;True;3697.0861864215967;[2585.080467850543, 4809.091904992651];0.8627324370148058;3479.853536219978;164.15957416500927;11.0;True;3457.5264610225286;[2269.503213284883, 4645.549708760174];0.8491713126839273;3300.303608015723;167.56787541821288;10.0;True;3628.5415070444633;[2439.3821499265496, 4817.700864162377];0.8411195071128216;3419.3156642667923;166.1668557244831;11.0;True;3482.640053388741;[2694.6729441872294, 4270.607162590252];0.8958642804726492;3406.4804124477564;166.51448888301465;13.0;True;3455.6470154184417;[2338.8845597658246, 4572.409471071059];0.8843699875185009;3381.447495479122;167.86482273622912;9.0;True;4638.564326875029;[2850.5287988873015, 6426.599854862757];0.8173007379166626;4057.0845486948906;154.7388963715001;10.0;True;8847.606015069525;[4949.562894860522, 12745.649135278527];0.7739822505959356;7015.1872332694875;121.54150397773567;10.0;True;9734.464529998155;[3781.8482328693426, 15687.080827126967];0.7274210979322119;7506.387282336063;118.14911286428524;8.0;True;7285.0956268914715;[3395.8766677870476, 11174.314585995895];0.7370268526008339;5690.7307470199485;134.37496420480528;9.0;True
6;21-01-18;M1-1_P1_C1;21-01-18_M1-1_P1_C1;21-01-18_M1-1;7;1s;71.58099999999831;16788.316;67.80099999999948;102.94002700981612;11.811409858209117;91.128617151607;91.79511231478455;86.39054711270182;63.04430379746964;147.875;True;0.0;109.87299176366956;1328.6731640118603;308.2971824678574;1371.0027499125474;0.1081786166617524;0.3079736636194373;101.06330603879269;28.14897152243448;78.32911392405003;136.5;155.2518886807764;134.03977517944784;5008.924127161493;0.9834625187446363;505.876405248624;13.166744882900275;R2 > 0.6;True;ok;;[nan, nan];;;;0.0;False;;[nan, nan];;;;0.0;False;;[nan, nan];;;;2.0;False;4206.664286234671;[-1949.6445333485908, 10362.973105817931];0.4736329614310485;2870.133245310234;155.36840965926746;6.0;False;2553.18110184624;[1518.4627549746233, 3587.8994487178566];0.8018683444122334;2382.714250627789;162.20495342593475;10.0;True;2709.608268715369;[1953.227845155157, 3465.988692275581];0.8496610005973375;2558.7645445997296;159.62246778883923;13.0;True;3108.684890151396;[2097.895038825945, 4119.474741476847];0.8064100791827017;2804.4554334538743;156.46254048858847;13.0;True;3623.0531365338584;[2414.434285448612, 4831.671987619105];0.816891285263652;3211.8087564334865;150.5012039418308;12.0;True;3338.951376540412;[2338.655893630388, 4339.246859450436];0.8636727782742055;3075.616121738936;153.13771550334494;11.0;True;3403.377805813305;[2581.4820960904567, 4225.273515536153];0.919339849287462;3198.5402734376657;151.89006429253675;10.0;True;4345.521543767383;[2868.9884343069343, 5822.054653227832];0.8737164335069176;3818.2505555183607;141.62510793836452;9.0;True;7301.314787905463;[3426.4145259804723, 11176.215049830455];0.7393123100664304;5847.652554215838;120.86381194299193;9.0;True;8274.468989082008;[1812.2076479256657, 14736.730330238352];0.684216485092755;6422.764031654701;117.03877785156011;7.0;True;8500.499010272244;[4021.078416080113, 12979.919604464376];0.7823061781882896;6850.314380778068;114.66087235293614;8.0;True;7768.134234430892;[4274.598154997383, 11261.6703138644];0.7979546573279584;6235.707233479201;119.37451028159175;9.0;True;7567.221139101957;[4157.761229563493, 10976.681048640421];0.7973595425972637;6029.675019307883;121.87776401181448;9.0;True;6296.505420474704;[4005.1803024915093, 8587.830538457898];0.8110951612109691;5136.3475763666;131.8944790695938;11.0;True;4562.394350009981;[2822.0166860789395, 6302.772013941023];0.8204032569162811;4049.0436461159848;151.4760068583301;10.0;True
7;21-01-18;M1-1_P1_C1;21-01-18_M1-1_P1_C1;21-01-18_M1-1;8;1s;82.8279999999977;16799.563;79.04799999999886;98.96063427277022;9.896933147273558;89.06370112549666;92.30245456797047;100.95600654548753;80.29113924050625;140.875;True;0.0;125.54793424675997;1327.3996705935615;340.64959076065105;1342.612808720131;0.11150889180906695;0.3117247047738429;101.06330603879269;28.14897152243448;78.32911392405003;136.5;152.66946288032486;132.83833569681528;4772.267584176874;0.9855795437465916;448.62537660523776;16.84355258497635;R2 > 0.6;True;ok;;[nan, nan];;;;0.0;False;;[nan, nan];;;;0.0;False;;[nan, nan];;;;0.0;False;;[nan, nan];;;;3.0;False;5332.315823392466;[-9367.419207580868, 20032.0508543658];0.20229058512231796;2405.4341917032652;159.95040389931472;6.0;False;3299.4638387221107;[1355.534229847878, 5243.393447596343];0.6569401466089916;2719.5996832113847;155.58272589579914;10.0;True;3467.2079228469106;[1944.4560652869077, 4989.9597804069135];0.7201910161925605;2944.91650796405;152.6408100057405;12.0;True;2773.6823912804493;[2089.2539809416166, 3458.110801619282];0.8785327928219199;2685.5494831334895;157.65176939372768;13.0;True;3198.7048250473586;[2105.27311152635, 4292.1365385683675];0.8094742983774117;2900.2283240099814;154.02347077917904;12.0;True;3629.3250306289824;[1957.4164778126512, 5301.233583445313];0.7580013143850801;3132.032850310678;150.37847894552857;10.0;True;5055.57850818381;[2881.70205515308, 7229.45496121454];0.7823734215645136;4195.748899807911;134.91771620694118;10.0;True;5154.109014954033;[3153.734373092032, 7154.483656816034];0.8152528957588755;4324.700691598583;133.64568611073895;10.0;True;5012.383058671031;[2551.660847968408, 7473.105269373655];0.8054649883466957;4195.4377129960485;135.6047900795993;8.0;True;5630.079218488727;[3580.3735062341343, 7679.784930743319];0.8337506471496501;4680.181582740075;130.24124408456854;10.0;True;5795.35084613847;[3151.9638784234726, 8438.737813853468];0.7933631194095371;4707.270979874434;129.76043352113786;9.0;True;6515.744874309077;[2157.23930767784, 10874.250440940315];0.7470634228904179;5075.795750104108;126.31533663604552;7.0;True;7271.130738805755;[4588.216926951624, 9954.044550659884];0.8299972251283246;5789.671630375188;118.47553696499482;10.0;True;5355.294115502609;[2322.386473506153, 8388.201757499066];0.7135024534732239;4282.306405342553;140.53853519571086;9.0;True
8;21-01-18;M1-1_P1_C1;21-01-18_M1-1_P1_C1;21-01-18_M1-1;9;1s;94.07700000000114;16810.812;90.2970000000023;91.41526977467129;12.953016946460593;78.4622528282107;101.30400101725036;101.1158242780325;80.86075949367114;117.25;True;0.0;111.01881390010747;1325.226693163795;485.7317295221063;1724.7451719481473;0.07936629333263354;0.2984723926418433;101.06330603879269;28.14897152243448;78.32911392405003;136.5;123.85415395691996;122.53786701174865;5321.594284246524;0.9884905533357419;444.14726227450956;10.61336724274679;R2 > 0.6;True;ok;;[nan, nan];;;;0.0;False;;[nan, nan];;;;0.0;False;;[nan, nan];;;;0.0;False;;[nan, nan];;;;0.0;False;;[nan, nan];;;;0.0;False;;[nan, nan];;;;0.0;False;;[nan, nan];;;;2.0;False;9455.512705332865;[-35686.84105660833, 54597.86646727407];0.05480450671017091;2525.2088648507256;145.19736329838352;7.0;False;4118.91317972769;[-629.4354635830923, 8867.261823038472];0.3754075607553883;2998.5041899078396;139.5343893332966;9.0;False;3645.4120964673343;[1589.982554361778, 5700.841638572891];0.6413854112007625;3374.4408408494896;135.94423598823906;11.0;True;4586.603503240969;[895.8574785542387, 8277.3495279277];0.5065529720661862;3589.3506246475667;135.07181768064703;10.0;False;13659.919509518253;[-11765.423752759007, 39085.26277179551];0.2761311578798232;7573.783973849741;114.16714777925041;7.0;False;6186.524637334556;[258.8249198798776, 12114.224354789236];0.5208300926196909;4583.696424446353;128.72428172264674;8.0;False;3146.761667155319;[1016.2039389998363, 5277.319395310802];0.6353662853188499;3215.5485978460865;145.82992132600862;9.0;True;3063.901801906152;[1366.5732898684307, 4761.230313943873];0.6841388925421434;3235.933711964499;145.70664016298758;10.0;True;3099.479161341627;[1754.5255827166006, 4444.432739966653];0.7512261312877135;3380.6308057177303;144.0945151453886;11.0;True;2785.6165136204218;[1456.7885432953917, 4114.444483945452];0.7782801518305728;3258.557310097799;146.79337499926328;9.0;True;3553.572049428231;[1115.1055314241576, 5992.038567432304];0.8036423179739519;3663.314581190142;139.17923644231965;6.0;True
9;21-01-18;M1-1_P1_C1;21-01-18_M1-1_P1_C1;21-01-18_M1-1;10;1s;105.33199999999852;16822.067;101.55199999999968;97.63013482351107;7.727380003722828;89.90275481978824;99.70871677287778;97.97115256799998;76.30379746835479;133.0;True;0.0;117.66649909090724;1330.0207525513033;346.99498636783954;1382.3975605136836;0.10908992117989316;0.3157496809531144;101.06330603879269;28.14897152243448;78.32911392405003;136.5;146.48795818279302;130.1528824682648;4632.121834476735;0.9800771168118823;504.86024575600095;14.080904217264106;R2 > 0.6;True;ok;;[nan, nan];;;;0.0;False;;[nan, nan];;;;0.0;False;;[nan, nan];;;;0.0;False;;[nan, nan];;;;2.0;False;1834.6087341033929;[855.5273186863462, 2813.6901495204393];0.8227031443341177;1997.1895772788396;163.65651576018496;7.0;True;2636.3023805918497;[1333.551394569242, 3939.0533666144574];0.765868283946573;2453.6317839327176;155.35304362249988;9.0;True;3105.1057109898024;[2339.997320027757, 3870.214101951848];0.8788394788222976;2951.698072540384;148.64041818693218;13.0;True;3143.960538285617;[2306.1473703025767, 3981.7737062686574];0.8478117861422119;2932.2267663106777;148.83383735599466;14.0;True;2933.7850894437324;[1158.114861727147, 4709.455317160318];0.6855850902764972;2570.064879425335;156.25166291697693;9.0;True;4574.48929710373;[1692.9019683853594, 7456.0766258221];0.626188192018916;3551.474907696;141.28593834301017;10.0;True;4074.721733980527;[1287.7986131971484, 6861.644854763906];0.5869375434828481;3158.6432513359223;147.66334565396943;10.0;False;2805.1217702250156;[1356.315738716242, 4253.927801733789];0.749649266674449;2685.156723236448;161.21120716994872;9.0;True;3218.7718716144973;[2225.256136225395, 4212.2876070036];0.8389935657992428;3056.2770086083024;151.9229577857627;12.0;True;4170.050098985497;[2263.863975349434, 6076.236222621561];0.7608305035475207;3539.6700917694643;140.7954999420605;10.0;True;5458.863127703226;[3177.4845477512185, 7740.241707655234];0.7919157920492479;4435.535719579555;126.3422359778945;10.0;True;6616.662866867295;[3532.289938635737, 9701.035795098853];0.786139969971203;5196.5810434253635;116.09754952636956;9.0;True;6258.596268144551;[2249.337923198424, 10267.854613090678];0.7630594245693485;4889.760847058071;120.36848722651315;7.0;True;10988.7752619749;[3256.224129891175, 18721.326394058626];0.6173226066856788;7673.381945679479;95.5785584438977;9.0;True
