;date;cellID;manipID;compNum ;Adhesion;Minor;Majeur;Square_Mean_radius;Radius ;ratio_adhesion;Area_ellipse;mean_area;area_adhesion;ratio_area;User_Validation;Comment
52;22/06/2010;22-06-10_M1_P1_C7;22-06-10_M1;6;;;;;;;;;0;;;
53;22/06/2010;22-06-10_M1_P1_C7;22-06-10_M1;7;;;;;;;;;0;;;
54;22/06/2010;22-06-10_M1_P1_C7;22-06-10_M1;8;;;;;;;;;0;;;
55;22/06/2010;22-06-10_M1_P1_C8;22-06-10_M1;1;35;360;395;377.9054114;23.63654234;0.675329781;1789.514803;1745.480091;3848.451001;0.453553934;;
56;22/06/2010;22-06-10_M1_P1_C8;22-06-10_M1;2;35;355;390;372.9108473;;0.675329781;1742.322957;;3848.451001;;;
57;22/06/2010;22-06-10_M1_P1_C8;22-06-10_M1;3;35;356;392;374.4329045;;0.675329781;1756.191067;;3848.451001;;;
58;22/06/2010;22-06-10_M1_P1_C8;22-06-10_M1;4;35;357;392;374.9086555;;0.675329781;1761.124188;;3848.451001;;;
59;22/06/2010;22-06-10_M1_P1_C8;22-06-10_M1;5;35;353;393;373.5358082;;0.675329781;1745.83403;;3848.451001;;;
60;22/06/2010;22-06-10_M1_P1_C8;22-06-10_M1;6;35;346;394;370.7775613;;0.675329781;1715.568326;;3848.451001;;;
61;22/06/2010;22-06-10_M1_P1_C8;22-06-10_M1;7;35;352;394;373.5906851;;0.675329781;1745.318066;;3848.451001;;;
62;22/06/2010;22-06-10_M1_P1_C8;22-06-10_M1;8;35;348;390;369.5970779;;0.675329781;1707.967293;;3848.451001;;;
63;22/06/2010;22-06-10_M1_P1_C9;22-06-10_M1;1;15;309;353;331.7303122;21.23708471;1.415805648;1372.678665;1400.548596;706.8583471;1.981370952;;
64;22/06/2010;22-06-10_M1_P1_C9;22-06-10_M1;2;15;313;364;339.4591286;;1.415805648;1433.776375;;706.8583471;;;
65;22/06/2010;22-06-10_M1_P1_C9;22-06-10_M1;3;15;311;363;338.0014793;;1.415805648;1420.701087;;706.8583471;;;
66;22/06/2010;22-06-10_M1_P1_C9;22-06-10_M1;4;15;311;369;341.2345235;;1.415805648;1444.18375;;706.8583471;;;
67;22/06/2010;22-06-10_M1_P1_C9;22-06-10_M1;5;15;314;365;340.4563114;;1.415805648;1442.308661;;706.8583471;;;
68;22/06/2010;22-06-10_M1_P1_C9;22-06-10_M1;6;15;304;353;329.4123556;;1.415805648;1350.467036;;706.8583471;;;
69;22/06/2010;22-06-10_M1_P1_C9;22-06-10_M1;7;15;303;362;333.8060814;;1.415805648;1380.342621;;706.8583471;;;
70;22/06/2010;22-06-10_M1_P1_C9;22-06-10_M1;8;15;307;352;330.267316;;1.415805648;1359.930574;;706.8583471;;;
71;22/06/2016;22-06-16_M1_P1_C1;22-06-16_M1;1;;;;;;;;;0;;;
72;22/06/2016;22-06-16_M1_P1_C1;22-06-16_M1;2;;;;;;;;;0;;;
73;22/06/2016;22-06-16_M1_P1_C1;22-06-16_M1;3;;;;;;;;;0;;;
74;22/06/2016;22-06-16_M1_P1_C1;22-06-16_M1;4;;;;;;;;;0;;;
75;22/06/2016;22-06-16_M1_P1_C1;22-06-16_M1;5;;;;;;;;;0;;;
76;22/06/2016;22-06-16_M1_P1_C1;22-06-16_M1;6;;;;;;;;;0;;;
77;22/06/2016;22-06-16_M1_P1_C1;22-06-16_M1;7;;;;;;;;;0;;;
78;22/06/2016;22-06-16_M1_P1_C3;22-06-16_M1;1;;;;;;;;;0;;;
79;22/06/2016;22-06-16_M1_P1_C3;22-06-16_M1;2;;;;;;;;;0;;;
80;22/06/2016;22-06-16_M1_P1_C3;22-06-16_M1;3;;;;;;;;;0;;;
81;22/06/2016;22-06-16_M1_P1_C3;22-06-16_M1;4;;;;;;;;;0;;;
82;22/06/2016;22-06-16_M1_P1_C4;22-06-16_M1;1;10;342;356;349.0701935;22.1235748;2.21235748;1532.187104;1536.746886;314.1592654;4.891617262;;
83;22/06/2016;22-06-16_M1_P1_C4;22-06-16_M1;2;10;344;356;350.0514248;;2.21235748;1541.147263;;314.1592654;;;
84;22/06/2016;22-06-16_M1_P1_C4;22-06-16_M1;3;10;341;356;348.5806937;;2.21235748;1527.707025;;314.1592654;;;
85;22/06/2016;22-06-16_M1_P1_C4;22-06-16_M1;4;10;348;353;350.5089157;;2.21235748;1545.92937;;314.1592654;;;
86;22/06/2016;22-06-16_M1_P1_C4;22-06-16_M1;5;10;344;357;350.5602659;;2.21235748;1545.476328;;314.1592654;;;
87;22/06/2016;22-06-16_M1_P1_C4;22-06-16_M1;6;10;343;354;348.5433976;;2.21235748;1528.034222;;314.1592654;;;
88;22/06/2016;22-06-16_M1_P1_C6;22-06-16_M1;1;15;250;253;251.5044731;15.98720339;1.065813559;795.9691369;802.8780232;706.8583471;1.135840054;;
89;22/06/2016;22-06-16_M1_P1_C6;22-06-16_M1;2;15;259;258;258.5004836;;1.065813559;840.9209434;;706.8583471;;;
90;22/06/2016;22-06-16_M1_P1_C6;22-06-16_M1;3;15;249;257;253.0316186;;1.065813559;805.3194147;;706.8583471;;;
91;22/06/2016;22-06-16_M1_P1_C6;22-06-16_M1;4;15;248;252;250.0079999;;1.065813559;786.4804297;;706.8583471;;;
92;22/06/2016;22-06-16_M1_P1_C6;22-06-16_M1;5;15;249;255;252.0178565;;1.065813559;799.0523375;;706.8583471;;;
93;22/06/2016;22-06-16_M1_P1_C6;22-06-16_M1;6;15;247;254;250.5244499;;1.065813559;789.5258769;;706.8583471;;;
94;22/06/2016;22-06-16_M1_P1_C7;22-06-16_M1;1;25;380;381;380.5003285;24.084961;0.96339844;1821.982793;1819.507843;1963.495408;0.926667735;;
95;22/06/2016;22-06-16_M1_P1_C7;22-06-16_M1;2;25;376;382;379.0118732;;0.96339844;1807.535796;;1963.495408;;;
96;22/06/2016;22-06-16_M1_P1_C7;22-06-16_M1;3;25;378;385;381.5160547;;0.96339844;1831.421162;;1963.495408;;;
97;22/06/2016;22-06-16_M1_P1_C7;22-06-16_M1;4;25;375;387;381.0472412;;0.96339844;1826.324443;;1963.495408;;;
98;22/06/2016;22-06-16_M1_P1_C7;22-06-16_M1;5;25;373;383;378.0330673;;0.96339844;1797.807983;;1963.495408;;;
99;22/06/2016;22-06-16_M1_P1_C7;22-06-16_M1;6;25;370;391;380.6448476;;0.96339844;1820.598499;;1963.495408;;;
100;22/06/2016;22-06-16_M1_P1_C7;22-06-16_M1;7;25;373;388;380.5739087;;0.96339844;1821.278061;;1963.495408;;;
101;22/06/2016;22-06-16_M1_P1_C7;22-06-16_M1;8;25;380;386;383.0117492;;0.96339844;1845.893328;;1963.495408;;;
102;22/06/2016;22-06-16_M1_P1_C7;22-06-16_M1;9;25;375;382;0;;0.96339844;1802.72852;;1963.495408;;;
103;22/06/2016;22-06-16_M1_P1_C8;22-06-16_M1;1;25;299;302;300.5037437;18.26786477;0.730714591;1136.354484;1048.907544;1963.495408;0.534204226;;
104;22/06/2016;22-06-16_M1_P1_C8;22-06-16_M1;2;25;300;308;304.0263147;;0.730714591;1162.807087;;1963.495408;;;
105;22/06/2016;22-06-16_M1_P1_C8;22-06-16_M1;3;25;276;287;281.5537249;;0.730714591;996.8428027;;1963.495408;;;
106;22/06/2016;22-06-16_M1_P1_C8;22-06-16_M1;4;25;267;281;274.0894015;;0.730714591;944.1767025;;1963.495408;;;
107;22/06/2016;22-06-16_M1_P1_C8;22-06-16_M1;5;25;273;278;275.5113428;;0.730714591;955.0874573;;1963.495408;;;
108;22/06/2016;22-06-16_M1_P1_C8;22-06-16_M1;6;25;288;292;290.0068965;;0.730714591;1058.305463;;1963.495408;;;
109;22/06/2016;22-06-16_M1_P1_C8;22-06-16_M1;7;25;290;291;290.5004303;;0.730714591;1062.005304;;1963.495408;;;
110;22/06/2016;22-06-16_M1_P1_C8;22-06-16_M1;8;25;286;298;292.0616373;;0.730714591;1072.551108;;1963.495408;;;
111;22/06/2016;22-06-16_M1_P1_C8;22-06-16_M1;9;25;293;298;295.5105751;;0.730714591;1098.802359;;1963.495408;;;
112;22/06/2016;22-06-16_M1_P1_C8;22-06-16_M1;10;25;290;296;293.015358;;0.730714591;1080.252818;;1963.495408;;;
113;22/06/2016;22-06-16_M1_P1_C8;22-06-16_M1;11;25;288;295;291.5210112;;0.730714591;1069.178464;;1963.495408;;;
114;22/06/2016;22-06-16_M1_P1_C8;22-06-16_M1;12;25;281;290;285.5354619;;0.730714591;1025.510276;;1963.495408;;;
115;22/06/2016;22-06-16_M1_P1_C8;22-06-16_M1;13;25;282;288;285.015789;;0.730714591;1022.062125;;1963.495408;;;
116;22/06/2016;22-06-16_M1_P1_C8;22-06-16_M1;14;25;282;282;282;;0.730714591;1000.769164;;1963.495408;;;
117;22/07/2006;22-07-06_M1_P1_C10;22-07-06_M1;1;25;301;302;301.5004146;19.17366743;0.766946697;1143.955518;1154.856834;1963.495408;0.588163756;;
118;22/07/2006;22-07-06_M1_P1_C10;22-07-06_M1;2;25;302;303;302.5004132;;0.766946697;1151.556551;;1963.495408;;;
119;22/07/2006;22-07-06_M1_P1_C10;22-07-06_M1;3;25;301;306;303.5102964;;0.766946697;1159.107246;;1963.495408;;;
120;22/07/2006;22-07-06_M1_P1_C10;22-07-06_M1;4;25;303;307;305.0065573;;0.766946697;1170.622057;;1963.495408;;;
121;22/07/2006;22-07-06_M1_P1_C10;22-07-06_M1;5;25;303;304;303.5004119;;0.766946697;1159.182753;;1963.495408;;;
