;date;cellName;cellID;manipID;compNum;compDuration;compStartTime;compAbsStartTime;compStartTimeThisDay;initialThickness;minThickness;maxIndent;previousThickness;surroundingThickness;surroundingDx;surroundingDz;validatedThickness;jumpD3;minForce;maxForce;minStress;maxStress;minStrain;maxStrain;ctFieldThickness;ctFieldFluctuAmpli;ctFieldDX;ctFieldDZ;bestH0;H0Chadwick;EChadwick;R2Chadwick;EChadwick_CIWidth;hysteresis;critFit;validatedFit;comments;KChadwick_25<s<175;K_CIW_25<s<175;R2Chadwick_25<s<175;K2Chadwick_25<s<175;H0Chadwick_25<s<175;Npts_25<s<175;validatedFit_25<s<175;KChadwick_75<s<225;K_CIW_75<s<225;R2Chadwick_75<s<225;K2Chadwick_75<s<225;H0Chadwick_75<s<225;Npts_75<s<225;validatedFit_75<s<225;KChadwick_125<s<275;K_CIW_125<s<275;R2Chadwick_125<s<275;K2Chadwick_125<s<275;H0Chadwick_125<s<275;Npts_125<s<275;validatedFit_125<s<275;KChadwick_175<s<325;K_CIW_175<s<325;R2Chadwick_175<s<325;K2Chadwick_175<s<325;H0Chadwick_175<s<325;Npts_175<s<325;validatedFit_175<s<325;KChadwick_225<s<375;K_CIW_225<s<375;R2Chadwick_225<s<375;K2Chadwick_225<s<375;H0Chadwick_225<s<375;Npts_225<s<375;validatedFit_225<s<375;KChadwick_275<s<425;K_CIW_275<s<425;R2Chadwick_275<s<425;K2Chadwick_275<s<425;H0Chadwick_275<s<425;Npts_275<s<425;validatedFit_275<s<425;KChadwick_325<s<475;K_CIW_325<s<475;R2Chadwick_325<s<475;K2Chadwick_325<s<475;H0Chadwick_325<s<475;Npts_325<s<475;validatedFit_325<s<475;KChadwick_375<s<525;K_CIW_375<s<525;R2Chadwick_375<s<525;K2Chadwick_375<s<525;H0Chadwick_375<s<525;Npts_375<s<525;validatedFit_375<s<525;KChadwick_425<s<575;K_CIW_425<s<575;R2Chadwick_425<s<575;K2Chadwick_425<s<575;H0Chadwick_425<s<575;Npts_425<s<575;validatedFit_425<s<575;KChadwick_475<s<625;K_CIW_475<s<625;R2Chadwick_475<s<625;K2Chadwick_475<s<625;H0Chadwick_475<s<625;Npts_475<s<625;validatedFit_475<s<625;KChadwick_525<s<675;K_CIW_525<s<675;R2Chadwick_525<s<675;K2Chadwick_525<s<675;H0Chadwick_525<s<675;Npts_525<s<675;validatedFit_525<s<675;KChadwick_575<s<725;K_CIW_575<s<725;R2Chadwick_575<s<725;K2Chadwick_575<s<725;H0Chadwick_575<s<725;Npts_575<s<725;validatedFit_575<s<725;KChadwick_625<s<775;K_CIW_625<s<775;R2Chadwick_625<s<775;K2Chadwick_625<s<775;H0Chadwick_625<s<775;Npts_625<s<775;validatedFit_625<s<775;KChadwick_675<s<825;K_CIW_675<s<825;R2Chadwick_675<s<825;K2Chadwick_675<s<825;H0Chadwick_675<s<825;Npts_675<s<825;validatedFit_675<s<825;KChadwick_725<s<875;K_CIW_725<s<875;R2Chadwick_725<s<875;K2Chadwick_725<s<875;H0Chadwick_725<s<875;Npts_725<s<875;validatedFit_725<s<875;KChadwick_775<s<925;K_CIW_775<s<925;R2Chadwick_775<s<925;K2Chadwick_775<s<925;H0Chadwick_775<s<925;Npts_775<s<925;validatedFit_775<s<925;KChadwick_825<s<975;K_CIW_825<s<975;R2Chadwick_825<s<975;K2Chadwick_825<s<975;H0Chadwick_825<s<975;Npts_825<s<975;validatedFit_825<s<975;KChadwick_875<s<1025;K_CIW_875<s<1025;R2Chadwick_875<s<1025;K2Chadwick_875<s<1025;H0Chadwick_875<s<1025;Npts_875<s<1025;validatedFit_875<s<1025;KChadwick_925<s<1075;K_CIW_925<s<1075;R2Chadwick_925<s<1075;K2Chadwick_925<s<1075;H0Chadwick_925<s<1075;Npts_925<s<1075;validatedFit_925<s<1075;KChadwick_975<s<1125;K_CIW_975<s<1125;R2Chadwick_975<s<1125;K2Chadwick_975<s<1125;H0Chadwick_975<s<1125;Npts_975<s<1125;validatedFit_975<s<1125;KChadwick_1025<s<1175;K_CIW_1025<s<1175;R2Chadwick_1025<s<1175;K2Chadwick_1025<s<1175;H0Chadwick_1025<s<1175;Npts_1025<s<1175;validatedFit_1025<s<1175;KChadwick_1075<s<1225;K_CIW_1075<s<1225;R2Chadwick_1075<s<1225;K2Chadwick_1075<s<1225;H0Chadwick_1075<s<1225;Npts_1075<s<1225;validatedFit_1075<s<1225;KChadwick_1125<s<1275;K_CIW_1125<s<1275;R2Chadwick_1125<s<1275;K2Chadwick_1125<s<1275;H0Chadwick_1125<s<1275;Npts_1125<s<1275;validatedFit_1125<s<1275;KChadwick_1175<s<1325;K_CIW_1175<s<1325;R2Chadwick_1175<s<1325;K2Chadwick_1175<s<1325;H0Chadwick_1175<s<1325;Npts_1175<s<1325;validatedFit_1175<s<1325
1054;21-09-08;M3_P1_C5;21-09-08_M3_P1_C5;21-09-08_M3;13;1s;155.94700000000012;24117.282;24117.282;199.85796195270208;134.37737420533267;65.48058774736941;179.66551092467398;179.66551092467398;119.27848101265772;-44.625;True;0.0;85.1020563924206;1094.2604739717392;287.68333695979777;1556.1846434810466;0.05753658894990894;0.148463206596057;177.03649094706725;32.45475105301148;101.74683544303889;-137.375;242.29148786217868;215.79567380859018;14875.327627810306;0.9286291925469277;3987.3112133826708;-5.588499806667642;R2 > 0.6;True;ok;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;4.0;False;9930.582814359655;38022.219727673255;0.26503087177405177;4979.0420197827125;243.38920994718242;7.0;False;5954.184554735114;6639.473820832389;0.6813555420035844;4911.204874237085;243.76497845614426;10.0;True;5060.613461414445;5341.554784524069;0.7047097313770124;4352.140888702949;248.20646837053377;10.0;True;6002.843195284079;7285.722699166092;0.7304331882857517;5117.565126037366;242.92178314635737;8.0;True;7705.619300113439;9450.180117201871;0.6386979795454741;6158.521246657305;237.71011523603175;10.0;True;6183.196505846791;12571.575989187993;0.5611707832953231;4709.937805028284;250.3850310111194;7.0;False;9065.822877566115;25572.052996545113;0.3991864663457673;5709.39385541195;242.61336827820196;7.0;False;;;;;;5.0;False;8549.484801353901;13694.690875414082;0.7502728851561434;7331.532305966449;235.82068014470875;6.0;True;9128.30295273896;12388.485675149044;0.7416085713546037;7769.667359334446;233.65848925855602;7.0;True;7783.158531045902;14769.335827000843;0.681605698329885;6437.719576241649;243.12093688691442;6.0;True;;;;;;5.0;False;52452.58162558661;373866.2621486649;0.13174313045000263;36629.76248462413;185.33552898045815;6.0;False;;;;;;5.0;False;;;;;;5.0;False;;;;;;4.0;False;18472.678761037794;150503.8320870746;0.10404662261007697;5893.714466705174;267.71231652721536;6.0;False;12530.14185498218;42272.51189298269;0.3171546656645864;7171.702082483293;254.4468522517169;7.0;False;10739.273559974832;40463.453978469624;0.35191302643465955;6642.001220867946;261.5689073756606;6.0;False;;;;;;4.0;False
1055;21-09-08;M3_P1_C6;21-09-08_M3_P1_C6;21-09-08_M3;1;1s;3.772000000000844;24361.32;24361.32;391.43905449473067;176.63845014490926;214.8006043498214;341.69600922311747;343.10375952456843;-160.40506329113896;36.75;True;0.0;54.14820885731198;934.057106382875;64.34146419824671;393.3230908521294;0.07730727091874008;0.2185617808991616;341.9086520986043;115.25493174902493;-126.60759493670957;-14.875;513.0146114857798;436.54493813375126;2136.7314813479907;0.9500240474794828;433.92008561187686;29.37078346454382;R2 > 0.6;True;ok;1027.942287900616;149.79719618950674;0.9709568096550516;991.2097290834308;500.83323285371307;26.0;True;1424.948591753827;322.63419182827147;0.9240482421518591;1305.1808777519313;474.02658091607833;29.0;True;3130.9448225306937;642.6083002024379;0.9563192813832873;2977.575061430783;384.4230363548942;21.0;True;4302.730423526271;652.3569662603618;0.9771010998309537;4156.296848113476;354.5854678654762;20.0;True;4529.388729546438;586.830065277918;0.9842260595641688;4206.179680301818;353.6452780807536;19.0;True;5455.389214708905;1402.809109956499;0.9521007724371097;5020.346644529425;336.66692388065934;16.0;True;8889.787996869394;3908.606650569778;0.942949019422074;9156.649820257104;287.3065321656086;9.0;True;;;;;;3.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False
1056;21-09-08;M3_P1_C6;21-09-08_M3_P1_C6;21-09-08_M3;2;1s;16.77400000000125;24374.322;24374.322;481.0555596120166;172.20557901647135;308.8499805955453;387.63190629764586;425.67159904102664;-20.78481012658267;12.25;True;0.0;53.82555559675223;953.0626534560818;56.53903929307529;301.61505280367044;0.0724853914946743;0.2405906977600575;341.9086520986043;115.25493174902493;-126.60759493670957;-14.875;618.9371190212076;565.3638804765144;1257.0413376407944;0.9730961827561148;178.551742031073;72.63089828977718;R2 > 0.6;True;ok;863.5815901243714;82.44092680819244;0.9833038902804111;848.067534076998;612.9842015878528;33.0;True;1109.0848901983916;183.35738778527548;0.9499390234665429;1032.444838570123;584.0979596611006;34.0;True;2045.1406134700474;365.2863165046265;0.9532180197388099;1797.274646383745;485.0877334600495;28.0;True;3138.332005093493;328.4451861585385;0.987570535863707;2766.6022361815976;414.9862284266097;22.0;True;3377.737392589802;841.2865915089569;0.9622760299299581;2900.815412800071;407.5678575198119;14.0;True;;;;;;5.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False
1057;21-09-08;M3_P1_C6;21-09-08_M3_P1_C6;21-09-08_M3;3;1s;29.31600000000253;24386.864;24386.864;485.0320061355642;173.08203180527562;311.94997433028857;413.5975112144174;381.7048756649101;-92.30379746835297;-37.625;True;0.0;51.84148085717581;939.5313310512232;47.26340388068698;281.17916927217135;0.08008068756283264;0.2439515121427195;341.9086520986043;115.25493174902493;-126.60759493670957;-14.875;645.4781278032082;545.7628706632944;1356.801506100472;0.9679229533630133;212.64593803342404;102.54247548261264;R2 > 0.6;True;ok;1004.636398009987;174.76592800218702;0.9431156651865197;923.8323179564724;588.8413240875376;35.0;True;1673.9488411891384;252.72151467699814;0.9619961784361799;1511.4744835674694;512.3397212659313;31.0;True;2491.355763304916;222.5539048438295;0.9883784958200469;2213.0216523597433;452.62669733694815;27.0;True;2853.9832687388002;417.06267620659946;0.9786921988298302;2471.195559510568;434.74297637895324;20.0;True;3310.745223862986;1111.2263330112573;0.9528051620309672;2812.1268934292143;413.64109003166334;11.0;True;;;;;;2.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False
1058;21-09-08;M3_P1_C6;21-09-08_M3_P1_C6;21-09-08_M3;4;1s;41.85599999999977;24399.404;24399.404;365.3151399299222;140.9153879833193;224.39975194660292;346.88442567836455;334.21754464657806;-170.7531645569602;6.125;True;0.0;54.88169470975292;970.394117156227;60.935541062052266;389.4224621678465;0.08605624007516319;0.23809631941614653;341.9086520986043;115.25493174902493;-126.60759493670957;-14.875;493.20945777745646;413.95053859752176;1884.7810509289693;0.9545810305158344;354.1612694475534;28.63233180377756;R2 > 0.6;True;ok;967.5476811145868;130.34977289561766;0.9750720223264764;928.868879917749;476.42524254720587;26.0;True;1361.925848163027;289.66762872517575;0.9349359881201939;1240.5537503635578;445.9242342123194;28.0;True;2582.9974346967524;409.09349868235677;0.9719835855562554;2355.4976853328662;369.2974870748602;22.0;True;3319.683419405417;309.8010756013364;0.9911991195474671;2999.161772200462;343.13325015991813;20.0;True;4608.181478875192;960.2467113176426;0.9576077189866579;4100.363916962594;311.3369767872397;20.0;True;6807.670707070837;2621.084627783346;0.9064319197700589;6290.33420442725;272.295116760087;15.0;True;9317.704544947117;7266.062432101414;0.8401071119055957;9138.792979765145;245.37094460980236;9.0;True;;;;;;2.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False
1059;21-09-08;M3_P1_C6;21-09-08_M3_P1_C6;21-09-08_M3;5;1s;54.39500000000044;24411.943;24411.943;394.2076015253506;140.44020642550458;253.767395099846;333.48945785133947;338.1526287013244;-120.81645569620332;227.5;True;0.0;55.73064959238602;984.5171847904588;63.27291737610748;360.5259612552064;0.07804936814555338;0.24442054447572242;341.9086520986043;115.25493174902493;-126.60759493670957;-14.875;526.5092091173075;446.2570606302003;1687.8722134285754;0.969591130531451;255.84016738226046;68.16998718943705;R2 > 0.6;True;ok;1080.9667049884588;198.48835888297344;0.9526708746442594;1012.8243071805484;494.3132678205103;27.0;True;1473.5387319778235;176.87396539592055;0.9783154919250866;1363.45101800877;459.19924535969267;28.0;True;2026.6873561514024;190.47335285932263;0.9888309846962935;1820.254261141816;420.1128422316859;24.0;True;2930.947571846467;598.3058602670562;0.9543044397683349;2544.871424050576;374.910046601586;22.0;True;4720.671798407884;1044.388153275444;0.9524708026050085;4177.224935913387;315.4531287115705;20.0;True;5905.716446922128;1283.7388243325659;0.9767592077145786;5343.089217998688;290.4643547921119;12.0;True;7296.483137062323;9344.132710143484;0.8245711459364564;6524.822213748585;272.166997173042;6.0;True;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False
1060;21-09-08;M3_P1_C6;21-09-08_M3_P1_C6;21-09-08_M3;6;1s;66.9340000000011;24424.482;24424.482;324.08647179136096;148.08063615338142;176.00583563797954;322.2140964552791;296.5133898093718;-144.13924050632977;97.125;True;0.0;59.518784647504894;974.6666636764749;85.22549808255381;497.24743258491543;0.07740188159538007;0.21724539262326178;341.9086520986043;115.25493174902493;-126.60759493670957;-14.875;425.1967237010756;361.0352537704907;2868.185812359726;0.9605782108727182;517.1915181538161;20.3586916371969;R2 > 0.6;True;ok;1274.43967294292;252.3603182260481;0.9639137565437224;1231.1591844366183;417.2188085476765;19.0;True;1541.1802634378148;236.1229287664455;0.9679950534214402;1468.3619595498349;405.29170998895194;26.0;True;2306.8226460127657;401.7407478169289;0.9700062692634064;2156.2374895997164;371.35362440932124;20.0;True;3322.043486778263;814.9972586639751;0.9526711456618354;3080.8536872210207;340.6277908598798;17.0;True;4782.628050135024;1159.3770068445883;0.9606879129430131;4534.95103517314;309.7756041590491;15.0;True;5982.049308507581;1467.0412316709917;0.9598029363651626;5723.751591089854;292.57718688509107;15.0;True;6948.286837322991;1628.1923621321112;0.959896666871658;6609.101000024277;282.15716642262134;16.0;True;6627.340712716431;1359.224568944761;0.9741064452180156;6087.084837142244;288.6280257090874;14.0;True;6232.19614733386;1434.5239815221266;0.9836881236429349;5610.737003390529;296.1354139877334;9.0;True;;;;;;3.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False
1061;21-09-08;M3_P1_C6;21-09-08_M3_P1_C6;21-09-08_M3;7;1s;79.47500000000218;24437.023;24437.023;380.7885153870008;157.9495889294467;222.83892645755412;304.9532688312529;302.6229409686912;-170.43670886076006;-77.875;True;0.0;58.88275178492077;953.504740436541;74.41870191393066;396.9802719111391;0.07366947353087336;0.22750909435904906;341.9086520986043;115.25493174902493;-126.60759493670957;-14.875;497.5217727696237;439.0060066399925;1987.9733179381758;0.9748951375179473;281.3714619122336;58.838351032946775;R2 > 0.6;True;ok;1157.4224162350122;137.77901074799092;0.9830890079410375;1127.4435156374602;486.94948889767903;23.0;True;1353.0749923008837;183.46215852108799;0.9713678634079255;1289.458490659381;475.64418546827204;29.0;True;2125.703048626024;370.90706411806445;0.964358382162593;1951.5540896606308;427.86912468641634;23.0;True;2953.2231634776235;345.8020399162451;0.9862143716673238;2701.552517113246;389.1574087038716;20.0;True;3930.3747290542665;741.0289264888497;0.9650268836997609;3535.388616872484;359.6442052811158;20.0;True;4700.066596058727;1008.1020952476138;0.9634156192689532;4212.241714524903;339.207822915206;17.0;True;4168.557665095777;1910.7423887909868;0.9154338612728496;3570.204732547381;359.4379223932118;11.0;True;;;;;;4.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False
1062;21-09-08;M3_P1_C6;21-09-08_M3_P1_C6;21-09-08_M3;8;1s;92.01599999999962;24449.564;24449.564;405.2610111316723;173.69667780746022;231.5643333242121;308.8073038469056;339.970196951102;-126.86075949366978;-231.875;True;0.0;54.97588446878104;979.7412296832986;67.65307171804253;395.7301110061027;0.07312179163847092;0.2227790802102082;341.9086520986043;115.25493174902493;-126.60759493670957;-14.875;523.714746080409;455.16445897353844;2103.9970124485767;0.9669193305882703;344.142093354988;23.00091750527099;R2 > 0.6;True;ok;1106.9374593351986;141.78109612969047;0.9784319103385675;1072.8493221228348;511.4579928017972;25.0;True;1412.898718241085;254.67524736702353;0.9523968949982228;1323.298107820018;491.65536690999056;28.0;True;2617.8805535614465;404.29686548273366;0.9747908753570068;2450.136130558534;422.44418064422433;21.0;True;3250.7998984519995;334.2364413375908;0.9893373772592221;3010.5784426908376;400.0005441567115;20.0;True;3923.362188079197;789.8916574823634;0.960315153402613;3539.4270047665264;383.29635528830073;20.0;True;5227.163422208074;1054.3741266788838;0.9675068021032948;4802.638178944708;349.7975917475131;17.0;True;4798.940821735447;2018.0001328428439;0.9376411252928525;4218.995817721008;364.9492804433924;10.0;True;;;;;;4.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False
1063;21-09-08;M3_P1_C6;21-09-08_M3_P1_C6;21-09-08_M3;9;1s;104.5560000000005;24462.104;24462.104;387.33114468312124;161.4030134594559;225.92813122366533;351.979012783439;352.9463571773299;-117.33544303797544;-357.875;True;0.0;55.17745773088354;989.1636030174902;60.27540176821884;386.3546974869647;0.08242819573011921;0.23053461886070578;341.9086520986043;115.25493174902493;-126.60759493670957;-14.875;523.3626194888946;428.47000557059806;2169.4329407348714;0.9503108956722146;436.0848327161757;25.69739058613868;R2 > 0.6;True;ok;1097.6146805626413;225.63265132216657;0.9438217021538023;1022.7807425099516;491.3911538207756;26.0;True;1654.7348234175386;372.13499190622724;0.9306463895626981;1509.2142291623127;450.3999262977992;27.0;True;3074.7055555454294;449.6174981992681;0.9773394760046029;2905.1077382786984;380.1643982533032;21.0;True;3935.0921477279135;665.537559763909;0.971663648899603;3673.6035287399586;357.31884926755174;20.0;True;5179.363564942932;1307.3679569823344;0.9390037974208767;4778.758144141558;332.92313376505325;20.0;True;6404.299645980029;1863.8156163661552;0.9443066652882509;6040.476503916824;310.84149967374054;15.0;True;6959.354085301632;6512.854647262053;0.7848640631669374;6263.892513025566;307.53751421178504;9.0;True;;;;;;2.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False;;;;;;0.0;False
