;date;cellName;cellID;manipID;compNum;compDuration;compStartTime;compAbsStartTime;compStartTimeThisDay;initialThickness;minThickness;maxIndent;previousThickness;surroundingThickness;surroundingDx;surroundingDz;validatedThickness;minF;maxF;minS;maxS;ctFieldThickness;ctFieldFluctuAmpli;ctFieldDX;ctFieldDZ;H0Chadwick;EChadwick;R2Chadwick;EChadwick_CIWidth;hysteresis;critFit;validatedFit;comments;H0Chadwick_f<150pN;EChadwick_f<150pN;R2Chadwick_f<150pN;Npts_f<150pN;validatedFit_f<150pN;H0Chadwick_f<100pN;EChadwick_f<100pN;R2Chadwick_f<100pN;Npts_f<100pN;validatedFit_f<100pN;H0Chadwick_s<150Pa;EChadwick_s<150Pa;R2Chadwick_s<150Pa;Npts_s<150Pa;validatedFit_s<150Pa
0;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;1;1s;5.036;40650.429;0.0;79.62368549881678;52.92471107309029;26.69897442572649;47.46857460241472;56.705653218759835;-41.860759493669775;-386.894274621459;True;122.227928808391;1117.94389757811;-1682449.3805910295;5526.505339077586;49.05063664636009;76.991875680456;-29.89873417721492;-102.6443838578685;81.52349666019406;49666.33194651849;0.4692946715320656;67202.10576636353;-8.536904215520735;R2 > 0.9;False;R2 < 0.9;;;;2.0;False;;;;0.0;False;;;;1.0;False
1;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;2;1s;20.249;40665.642;15.213000000003376;56.73070811904017;10.178799766319571;46.5519083527206;58.368101589624985;35.416035502760224;-95.2468354430348;248.92945957477147;True;88.7876600914735;1147.96485970824;1226.5626365624196;2752.0548630038006;49.05063664636009;76.991875680456;-29.89873417721492;-102.6443838578685;69.15131926754572;7835.426054812769;0.8211378519983947;3517.7746131534523;-10.970745885339966;R2 > 0.9;False;R2 < 0.9;;;;5.0;False;;;;2.0;False;;;;0.0;False
2;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;3;1s;34.662;40680.055;29.62600000000384;45.01995782771004;15.16512306425011;29.854834763459927;20.159815192304904;24.22073059694003;-57.398734177215374;-109.515179697398;True;126.69816833225;1159.04291359616;3854.40119772482;4320.893126212917;49.05063664636009;76.991875680456;-29.89873417721492;-102.6443838578685;53.08825242725337;18811.862703493483;0.6951518254829921;13693.871162502845;-9.854165702419778;R2 > 0.9;False;R2 < 0.9;;;;2.0;False;;;;0.0;False;;;;0.0;False
3;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;4;1s;49.076;40694.469;44.04000000000087;88.04932040308965;51.95105745419005;36.0982629488996;47.25430233459474;60.11456480173547;-23.03164556962065;3.7345570253921494;True;121.576861371701;1134.59030905393;1603.2670114618243;3249.5079413592;49.05063664636009;76.991875680456;-29.89873417721492;-102.6443838578685;101.31384119684127;16640.171794494676;0.8748395473153079;7432.139318699939;-7.280093615250735;R2 > 0.9;False;R2 < 0.9;;;;2.0;False;;;;0.0;False;;;;0.0;False
4;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;5;1s;63.487;40708.88;58.45100000000093;54.20367751893324;19.679992161570226;34.523685357363014;56.18957395425059;30.115780409660147;-24.075949367084377;-75.31050215758118;True;93.7105880584056;1177.3798387389;1547.572305194185;3519.982156174342;49.05063664636009;76.991875680456;-29.89873417721492;-102.6443838578685;66.96835828766784;13513.668866205908;0.9198243776143111;4176.0326890619;17.13076916473983;R2 > 0.9;True;ok;;;;5.0;False;;;;1.0;False;;;;0.0;False
5;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;6;1s;77.896;40723.289;72.86000000000058;145.93121338819006;70.39174381936937;75.53946956882069;53.414657348565015;68.75036948102525;11.08227848100978;-143.48715470104898;True;84.2134207215567;1125.25378076075;460.8828772264312;1511.1757433322605;49.05063664636009;76.991875680456;-29.89873417721492;-102.6443838578685;175.66393992300232;6585.285804393034;0.97924487463746;1047.491205787066;9.326109100090434;R2 > 0.9;True;ok;;;;6.0;False;;;;2.0;False;;;;0.0;False
6;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;7;1s;92.314;40737.707;87.2780000000057;143.61014772904977;53.25504386574994;90.35510386329983;52.65055561554527;94.48237424710987;-14.424050632910166;-570.3367483419061;True;101.241380285953;1111.96336008946;432.7965395506457;1223.3330386074867;49.05063664636009;76.991875680456;-29.89873417721492;-102.6443838578685;181.76120446862805;4342.729857865464;0.9478727772222573;1078.223349395385;-16.123549188319885;R2 > 0.9;True;ok;;;;4.0;False;;;;0.0;False;;;;0.0;False
7;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;20-08-04_M1;1;1s;5.031;40995.122;344.6930000000066;157.9219164627666;121.7672494776507;36.15466698511591;145.58076420094994;137.22109295770997;133.58227848101478;0.0;True;98.3288052811045;1105.58944342417;987.830943095001;3027.898545741714;131.7174770138049;51.51202916340108;118.77215189873004;1.7499999999999;173.38876372848648;26796.55260780555;0.9711828794415347;5761.006154666233;9.09514429021965;R2 > 0.9;True;ok;;;;4.0;False;;;;1.0;False;;;;0.0;False
8;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;20-08-04_M1;2;1s;19.835;41009.926;359.497000000003;129.99857568915377;99.35305917538972;30.64551651376405;114.96568247441519;106.96358789755504;104.08860759494019;1.7499999999999;True;124.433965711787;1127.3955363492;1223.0630868854278;3281.6190062775577;131.7174770138049;51.51202916340108;118.77215189873004;1.7499999999999;147.9228606866759;28190.336394793347;0.9630971416113219;7031.906289916951;8.722986783661327;R2 > 0.9;True;ok;;;;2.0;False;;;;0.0;False;;;;0.0;False
9;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;20-08-04_M1;3;1s;34.056;41024.147;373.71800000000076;138.1101591064568;97.0224734036201;41.087685702836694;109.74776138970537;120.38752729925955;117.79113924050489;1.7499999999999;True;90.6082164207;1131.39711713728;707.9230104260695;2631.4517387437304;131.7174770138049;51.51202916340108;118.77215189873004;1.7499999999999;157.80767122411382;22151.38455947789;0.9777318296477266;4039.2937031796027;-2.923419690730043;R2 > 0.9;True;ok;;;;5.0;False;;;;1.0;False;;;;0.0;False
