idxCompression;T;Tabs;B;F;dx;dy;dz;D2;D3
0;0.786;27933.013;5.5011;104.359812820005;4.44670886075949;1.37215189873418;-0.301772385392814;4.65360296174446;4.66337722022811
0;1.386;27933.613;5.5033;104.161741933355;4.44506329113924;1.38253164556962;-0.290648812979673;4.65510272853726;4.66416746544563
0;1.987;27934.214;5.5033;103.937489160242;4.44132911392405;1.39525316455696;-0.28184406832142;4.6553341116826;4.66385803495814
0;2.586;27934.813;5.5033;103.056123861478;4.43860759493671;1.41708860759493;-0.282958265780504;4.65933230233745;4.66791633213136
0;3.186;27935.413;5.5011;103.483051817429;4.44158227848101;1.40227848101266;-0.283973346561309;4.65768591414532;4.66633463613412
0;3.786;27936.013;3.3044;48.9898453234574;4.44056962025316;1.41012658227848;-0.357996883812669;4.65908956024283;4.67282326855867
1;3.806;27936.033;3.3033;48.1995324407469;4.43905063291139;1.42582278481012;-0.425427737851504;4.66241794943726;4.6817870407963
1;3.822;27936.049;3.3033;47.3126212637006;4.44151898734177;1.42582278481012;-0.525130915066;4.66476811091411;4.69423305839827
1;3.836;27936.063;3.311;46.5272793572948;4.44145569620253;1.42955696202532;-0.618216968463031;4.66585059865883;4.70662873287246
1;3.852;27936.079;3.3429;45.794102300327;4.44284810126582;1.43341772151899;-0.735394345318428;4.66836005630307;4.7259274707101
1;3.866;27936.093;3.3957;47.8233655957451;4.44405063291139;1.43518987341772;-0.644798407588401;4.67004882208323;4.71435265832643
1;3.882;27936.109;3.4661;50.1530707125109;4.44462025316456;1.44132911392405;-0.546735378473523;4.67248101221243;4.70435950832419
1;3.896;27936.123;3.5563;52.267039920566;4.4426582278481;1.44132911392405;-0.54055703621103;4.6706147073069;4.70179153658569
1;3.912;27936.139;3.6685;55.3086790053427;4.44012658227848;1.44569620253164;-0.482212711669069;4.66955689296858;4.69438927614292
1;3.926;27936.153;3.7994;59.1308254816607;4.43626582278481;1.44740506329114;-0.400561727994735;4.66641574097823;4.68357615135951
1;3.942;27936.169;3.9545;63.1278276714233;4.44177215189873;1.44664556962026;-0.314596613346057;4.67141555135968;4.68199682642074
1;3.957;27936.184;4.1294;67.4040098070183;4.44132911392405;1.44386075949367;-0.309371655894943;4.67013256674744;4.68036846973251
1;3.971;27936.198;4.3186;72.0200464111373;4.4406329113924;1.44291139240506;-0.306592381263695;4.66917700886074;4.67923207677527
1;3.987;27936.214;4.532;77.3397033475462;4.44069620253165;1.43835443037975;-0.308537456259116;4.66783099850155;4.67801684397212
1;4.001;27936.228;4.7652;82.8436212601938;4.44322784810127;1.4396835443038;-0.307114343646466;4.67064903604218;4.68073515998878
1;4.017;27936.244;5.0193;89.2013854399242;4.44126582278481;1.44177215189873;-0.304940376643448;4.6694270576407;4.67937364183868
1;4.031;27936.258;5.2943;96.1606946570204;4.44189873417722;1.43949367088608;-0.302977882264814;4.66932611767546;4.67914543376757
1;4.047;27936.274;5.588;104.018492409348;4.44101265822785;1.43335443037975;-0.29928382184872;4.6665938706544;4.67618104436191
1;4.062;27936.289;5.9004;110.839918338988;4.44677215189873;1.42879746835443;-0.369725347250083;4.67067926285654;4.68528991727058
1;4.076;27936.303;6.2436;119.19166682444;4.44563291139241;1.41943037974684;-0.434832956897466;4.66673703842455;4.68695149177029
1;4.092;27936.319;6.5923;126.972509611849;4.44664556962025;1.42164556962025;-0.480609271287958;4.66837583613877;4.6930499911137
1;4.106;27936.333;6.9707;135.741771944567;4.44740506329114;1.41506329113924;-0.533595291262579;4.66709930416286;4.69750357634511
1;4.122;27936.349;7.3645;142.782062237396;4.44943037974683;1.40594936708861;-0.650635874820285;4.66627520909675;4.71141712955179
1;4.136;27936.363;7.7814;153.303442260652;4.45177215189874;1.40101265822785;-0.650787519199092;4.66702386547742;4.71217955473697
1;4.152;27936.379;8.217;165.104009376463;4.44898734177215;1.39582278481013;-0.648393554452743;4.66281134229597;4.70767711459694
1;4.166;27936.393;8.6713;177.065166254185;4.45050632911393;1.38867088607595;-0.646037302063179;4.66212541823127;4.70667373109451
1;4.182;27936.409;9.152;190.388045632642;4.45018987341772;1.37848101265823;-0.641486393218264;4.65879810806703;4.70275500152975
1;4.196;27936.423;9.647;203.581315859323;4.4506329113924;1.37607594936709;-0.631515122969563;4.65851031236336;4.70112004536526
1;4.212;27936.439;10.1673;216.916098947508;4.45721518987342;1.36455696202532;-0.630266514672073;4.66141426516139;4.70383022981984
1;4.226;27936.453;10.7052;230.488402527007;4.45879746835443;1.3623417721519;-0.630782046781266;4.66227948196522;4.70475673744089
1;4.242;27936.469;11.2629;245.144123655947;4.45873417721519;1.35613924050633;-0.633281821089638;4.66041029338704;4.70324036889786
1;4.256;27936.483;11.8404;260.131906238838;4.45873417721519;1.35063291139241;-0.636688534101473;4.65881097753527;4.70211569549915
1;4.272;27936.499;12.4388;275.802689430098;4.45981012658228;1.34272151898734;-0.637606070842537;4.65755380459716;4.70099446333356
1;4.286;27936.513;13.0581;292.163936358065;4.45981012658228;1.33398734177215;-0.64067319024603;4.65504335030021;4.69892442266038
1;4.302;27936.529;13.6983;309.043516294757;4.45898734177215;1.32689873417722;-0.642650102206494;4.65222832251872;4.69640580856376
1;4.316;27936.543;14.3583;325.645352697758;4.46113924050633;1.31917721518987;-0.64520056718111;4.65209542553262;4.69662385338152
1;4.332;27936.559;15.0392;341.980077214599;4.46411392405063;1.31348101265823;-0.649151856472168;4.65333702814619;4.69839798551354
1;4.346;27936.573;15.7377;359.807031808595;4.46487341772152;1.30360759493671;-0.652926193302952;4.6512887889114;4.69689259103868
1;4.362;27936.589;16.456;377.130779469753;4.46670886075949;1.29639240506329;-0.657855953010627;4.65103443490727;4.69732857799033
1;4.376;27936.603;17.1985;396.135831111558;4.46803797468354;1.27873417721519;-0.669550939210108;4.64742126767011;4.69540444470863
1;4.392;27936.619;17.9608;416.8495073878;4.47183544303798;1.27088607594936;-0.638157914329724;4.64892069707073;4.6925162941938
1;4.406;27936.633;18.7418;438.41086984919;4.47259493670886;1.26189873417722;-0.614553976302366;4.6472028020296;4.68766151433536
1;4.422;27936.649;19.5393;457.936273626566;4.47594936708861;1.25246835443038;-0.60728218162132;4.64788120712981;4.68738641075228
1;4.436;27936.663;20.3654;477.879191618514;4.47911392405063;1.24075949367089;-0.60554162752044;4.64778933104317;4.68707012198653
1;4.452;27936.679;21.2069;497.343592969926;4.4803164556962;1.23297468354431;-0.609287172614175;4.646876597613;4.68665050672178
1;4.466;27936.693;22.0682;516.950893145109;4.48272151898734;1.22537974683544;-0.608018850136742;4.64718707830303;4.6867936441525
1;4.482;27936.709;22.9526;536.407914585773;4.4856329113924;1.2173417721519;-0.60887019904583;4.64788377716059;4.68759496173451
