;date;cellName;cellID;manipID;compNum;compDuration;compStartTime;compAbsStartTime;compStartTimeThisDay;initialThickness;minThickness;maxIndent;previousThickness;surroundingThickness;validatedThickness;ctFieldThickness;ctFieldFluctuAmpli;H0Chadwick;EChadwick;R2Chadwick;EChadwick_CIWidth;hysteresis;critFit;validatedFit;comments
0;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;1.0;1s;5.036;40650.429;0.0;79.62368549881678;52.92471107309029;26.69897442572649;47.46857460241472;56.70565321875984;1.0;49.05063664636009;76.991875680456;81.52349666019406;49666.33194651849;0.4692946715320656;67202.10576636353;-14.118030463700052;R2 > 0.9;0.0;R2 < 0.9
1;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;2.0;1s;20.249;40665.642;15.213000000003376;56.73070811904017;10.178799766319573;46.5519083527206;58.368101589624985;35.416035502760224;1.0;49.05063664636009;76.991875680456;69.15131926754572;7835.426054812769;0.8211378519983947;3517.7746131534523;-13.10938300684029;R2 > 0.9;0.0;R2 < 0.9
2;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;3.0;1s;34.662;40680.055;29.62600000000384;46.999436283830015;15.16512306425011;31.834313219579904;20.159815192304904;24.22073059694003;1.0;49.05063664636009;76.991875680456;56.09903938028089;16368.744911424808;0.7896246747765718;8702.163545042946;-10.464551818000473;R2 > 0.9;0.0;R2 < 0.9
3;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;4.0;1s;49.076;40694.469;44.04000000000087;88.04932040308965;51.95105745419005;36.0982629488996;47.25430233459474;60.11456480173547;1.0;49.05063664636009;76.991875680456;101.31384119684128;16640.171794494676;0.8748395473153079;7432.139318699939;-10.758911027201066;R2 > 0.9;0.0;R2 < 0.9
4;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;5.0;1s;63.487;40708.88;58.45100000000093;54.20367751893324;19.679992161570222;34.523685357363014;56.18957395425059;30.115780409660147;1.0;49.05063664636009;76.991875680456;66.96835828766784;13513.668866205908;0.9198243776143112;4176.0326890619;17.038991228289888;R2 > 0.9;1.0;ok
5;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;6.0;1s;77.896;40723.289;72.86000000000058;145.93121338819006;70.39174381936937;75.53946956882069;53.414657348565015;68.75036948102525;1.0;49.05063664636009;76.991875680456;175.66393992300232;6585.285804393034;0.97924487463746;1047.491205787066;8.89621340757003;R2 > 0.9;1.0;ok
6;20-08-04;M1_P1_C5;20-08-04_M1_P1_C5;20-08-04_M1;7.0;1s;92.314;40737.707;87.2780000000057;143.61014772904977;53.25504386574994;90.35510386329985;52.65055561554527;94.48237424710987;1.0;49.05063664636009;76.991875680456;181.76120446862805;4342.729857865464;0.9478727772222572;1078.223349395385;-14.628912579430107;R2 > 0.9;1.0;ok
7;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;20-08-04_M1;1.0;1s;5.031;40995.122;344.6930000000066;159.63175808174037;121.7672494776507;37.86450860408968;145.58076420094994;137.22109295770997;1.0;131.7174770138049;51.51202916340108;173.34599306885684;26847.0708958516;0.9808148097513018;4292.282939072538;8.8452574637804;R2 > 0.9;1.0;ok
8;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;20-08-04_M1;2.0;1s;19.835;41009.926;359.497000000003;129.99857568915377;99.35305917538972;30.64551651376405;114.9656824744152;106.96358789755504;1.0;131.7174770138049;51.51202916340108;147.9228606866759;28190.336394793347;0.963097141611322;7031.906289916951;8.842107959790155;R2 > 0.9;1.0;ok
9;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;20-08-04_M1;3.0;1s;34.056;41024.147;373.7180000000008;138.1101591064568;97.0224734036201;41.08768570283669;109.74776138970536;120.38752729925956;1.0;131.7174770138049;51.51202916340108;157.80767122411382;22151.38455947789;0.9777318296477266;4039.2937031796014;-4.293886131679756;R2 > 0.9;1.0;ok
10;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;20-08-04_M1;4.0;1s;48.419;41038.51;388.0810000000056;131.90540390587344;93.83942934103015;38.06597456484329;121.50922082498028;125.27579294311;1.0;131.7174770138049;51.51202916340108;145.25431390629103;34464.38031004231;0.9701361939710398;7012.157342866034;1.51995405874095;R2 > 0.9;1.0;ok
11;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;20-08-04_M1;5.0;1s;62.805;41052.896;402.4670000000042;138.22285100400313;107.77248963117016;30.45036137283296;127.85370430357445;129.0589717689004;1.0;131.7174770138049;51.51202916340108;153.83323398510404;35981.53471658843;0.9397475634369375;11023.282267024162;-1.8518151179005145;R2 > 0.9;1.0;ok
12;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;20-08-04_M1;6.0;1s;77.19;41067.281;416.8520000000062;151.68718150126975;114.15420694152;37.53297455974976;131.03220156419957;141.08019899858482;1.0;131.7174770138049;51.51202916340108;171.29736314377075;26070.212542915568;0.97326122734951;5241.537777903708;-1.8401043226504044;R2 > 0.9;1.0;ok
13;20-08-04;M1_P1_C6;20-08-04_M1_P1_C6;20-08-04_M1;7.0;1s;91.591;41081.682;431.25300000000425;159.58520238993;138.5894439065505;20.99575848337949;150.09953798790502;154.62714915677998;1.0;131.7174770138049;51.51202916340108;168.2200931508939;105376.97652795233;0.8887254430500211;45363.16659734896;-3.0402152138603924;R2 > 0.9;0.0;R2 < 0.9
