;date;cellName;cellID;manipID;compNum;compDuration;compStartTime;compAbsStartTime;compStartTimeThisDay;initialThickness;minThickness;maxIndent;previousThickness;surroundingThickness;validatedThickness;ctFieldThickness;ctFieldFluctuAmpli;H0Chadwick;EChadwick;R2Chadwick;EChadwick_CIWidth;hysteresis;critFit;validatedFit;comments
3089;21-09-08;M1_P1_C10;21-09-08_M1_P1_C10;21-09-08_M1;1;1s;3.804;14935.766;2077.611999999999;179.49461884410297;75.76014279125957;103.7344760528434;198.85354474287988;164.9553164655099;True;189.38806775752482;64.96114561006686;208.9595590306169;5415.588556858129;0.9922641293789153;414.3137823802517;33.534151979949456;R2 > 0.9;True;ok
3090;21-09-08;M1_P1_C10;21-09-08_M1_P1_C10;21-09-08_M1;2;1s;16.746;14948.708;2090.554;211.65659070457028;70.05248966770978;141.6041010368605;170.0064107235553;184.57393651883012;True;189.38806775752482;64.96114561006686;259.49287718219676;2824.8555327839476;0.9751039724939745;369.8013350787505;57.299609703670285;R2 > 0.9;True;ok
3091;21-09-08;M1_P1_C10;21-09-08_M1_P1_C10;21-09-08_M1;3;1s;29.383;14961.345;2103.190999999999;261.7476464398833;62.73809132724;199.00955511264328;215.20769433519035;207.82550919030018;True;189.38806775752482;64.96114561006686;335.0517277549639;1978.183828810937;0.9933107807902775;130.6696597183559;101.82332372063047;R2 > 0.9;True;ok
3092;21-09-08;M1_P1_C10;21-09-08_M1_P1_C10;21-09-08_M1;4;1s;42.085;14974.047;2115.893;248.0347568702867;54.439084458319485;193.59567241196723;185.41911747224503;177.15466587935043;True;189.38806775752482;64.96114561006686;309.581561175171;2530.7596277202524;0.9874109098101843;233.82908593751017;84.69383502005985;R2 > 0.9;True;ok
3093;21-09-08;M1_P1_C10;21-09-08_M1_P1_C10;21-09-08_M1;5;1s;54.798;14986.76;2128.6059999999998;221.80573173565003;77.33543486703002;144.47029686862;180.56912684851522;190.30581757486516;True;189.38806775752482;64.96114561006686;271.66143628111877;3096.711987879672;0.9943503641998349;195.7765922159051;38.06264540232951;R2 > 0.9;True;ok
3094;21-09-08;M1_P1_C10;21-09-08_M1_P1_C10;21-09-08_M1;6;1s;67.511;14999.473;2141.3189999999995;228.75825815667335;74.8343820193304;153.92387613734294;202.12425704372026;189.98690320438482;True;189.38806775752482;64.96114561006686;268.9453923667953;3062.7467351932323;0.9839789575031603;311.78653870665676;94.48789607731032;R2 > 0.9;True;ok
3095;21-09-08;M1_P1_C10;21-09-08_M1_P1_C10;21-09-08_M1;7;1s;80.217;15012.179;2154.0249999999996;239.9603975282665;53.02490260277045;186.93549492549604;200.50536956861515;210.7552427163555;True;189.38806775752482;64.96114561006686;318.0489818339914;2372.91392792959;0.9899713402332546;201.12767488655027;80.62371083866037;R2 > 0.9;True;ok
3096;21-09-08;M1_P1_C11;21-09-08_M1_P1_C11;21-09-08_M1;1;1s;3.806;15125.206;2267.0519999999997;183.02453976028997;162.95503368082973;20.06950607946024;190.35556055050483;191.89196047989526;True;243.68807743761545;103.24046783249469;205.22603808463177;4.078878590679242e+18;3.195942888749497e-15;0.0;10.22225262171014;R2 > 0.9;False;R2 < 0.9
3097;21-09-08;M1_P1_C11;21-09-08_M1_P1_C11;21-09-08_M1;2;1s;16.736;15138.136;2279.982;219.92717394820343;156.14858301187996;63.77859093632347;207.54807989538494;223.42691709169003;True;243.68807743761545;103.24046783249469;246.96384353376737;14567.80518527851;0.7849969332803387;6916.3642773469055;-2.3855430814601277;R2 > 0.9;False;R2 < 0.9
3098;21-09-08;M1_P1_C11;21-09-08_M1_P1_C11;21-09-08_M1;3;1s;29.256;15150.656;2292.5020000000004;229.77789472680342;159.42128055586;70.35661417094343;231.89091911693959;247.10777095676485;True;243.68807743761545;103.24046783249469;254.32089194260013;17070.14532777414;0.7984491487898748;7860.510608753846;-4.101103118269748;R2 > 0.9;False;R2 < 0.9
3099;21-09-08;M1_P1_C11;21-09-08_M1_P1_C11;21-09-08_M1;4;1s;41.912;15163.312;2305.1579999999994;289.24750984905677;221.66581076709917;67.5816990819576;271.08036972610535;283.1191826629497;True;243.68807743761545;103.24046783249469;304.75932712991596;19334.55755234337;0.9495984133732598;4461.347555186665;9.776270625429788;R2 > 0.9;True;ok
3100;21-09-08;M1_P1_C11;21-09-08_M1_P1_C11;21-09-08_M1;5;1s;54.621;15176.021;2317.867;293.4320915619064;236.41897763199995;57.01311392990647;295.767211764045;304.2417218368146;True;243.68807743761545;103.24046783249469;313.80848054963104;22587.96987017966;0.9783092706941011;3157.083456295535;13.49709359391909;R2 > 0.9;True;ok
3101;21-09-08;M1_P1_C11;21-09-08_M1_P1_C11;21-09-08_M1;6;1s;67.334;15188.734;2330.58;272.9438905562004;234.6365574368201;38.3073331193803;296.5840593384851;276.1455224982751;True;243.68807743761545;103.24046783249469;290.93403156461017;35210.24818356462;0.8897094984302415;11773.986597036463;11.329898480999873;R2 > 0.9;False;R2 < 0.9
3102;21-09-08;M1_P1_C11;21-09-08_M1_P1_C11;21-09-08_M1;7;1s;80.046;15201.446;2343.2919999999995;257.1967398840931;216.78041355007917;40.416326334013945;255.5724033144752;246.7592352433703;True;243.68807743761545;103.24046783249469;259.0542707837251;68474.56732012908;0.7885828372281416;34147.36729570769;15.908943082270525;R2 > 0.9;False;R2 < 0.9
